ja,en
"●付与されるライセンスについて、第三者が知的財産権を主張する著作権ライセンスおよび特許ライセンスは除く。
●付与される著作権ライセンスには、初期開発者がライセンス可能な著作権も含まれる。
●付与される特許ライセンスには、初期開発者がライセンス可能な特許請求項のうち、初期開発者が開発したソフトウェアを単独又はコントリビュータのコントリビューションと組み合わせて用いることで、必然的に侵害される請求項も含まれる。
●初期開発者は、Exhibit Aで義務付けられているソースコード告知で初期開発者として記載された個人または団体を指す。
●ソースコードは、ソースコード、および、関連するインタフェース定義ファイル、実行形式のコンパイルやインストールの制御に使用するスクリプトを指す。
●実行形式は、ソースコード以外の任意の形式のソフトウェアを指す。
●サブライセンスは、本ライセンスを付与された者が、再度、第三者にその付与されたライセンスを供与することを指す。","The license granted excludes copyright licenses and patent licenses in which a third party claims intellectual property rights. The copyright license granted includes copyrights that are licensable to the Initial Developer. The patent license granted includes any patent claims that the Initial Developer can license that are necessarily infringed by the use of software developed by the Initial Developer alone or in combination with Contributor's contributions. The initial developer is the person or entity listed as the initial developer in the source code notice required by EXHIBIT A. The initial developer is the person or entity listed as the initial developer in the source code notice. Source code refers to the source code and associated interface definition files and scripts used to control the compilation and installation of executables. The term ""executable"" refers to any form of software other than source code. The term ""sublicense"" refers to a person who has been granted this license to re-grant the license to a third party."
"●付与されるライセンスについて、第三者が知的財産権を主張する著作権ライセンスおよび特許ライセンスは除く。
●付与される著作権ライセンスには、初期開発者がライセンス可能な著作権も含まれる。
●付与される特許ライセンスには、初期開発者がライセンス可能な特許請求項のうち、初期開発者が開発したソフトウェアを単独又はコントリビュータのコントリビューションと組み合わせて用いることで、必然的に侵害される請求項も含まれる。
●初期開発者は、Exhibit Aで義務付けられているソースコード告知で初期開発者として記載された個人または団体を指す。
●ソースコードは、ソースコード、および、関連するインタフェース定義ファイル、実行形式のコンパイルやインストールの制御に使用するスクリプトを指す。 
●実行形式は、ソースコード以外の任意の形式のソフトウェアを指す。",The license granted excludes copyright licenses and patent licenses in which a third party claims intellectual property rights. The copyright license granted includes copyrights that are licensable to the Initial Developer. The patent license granted includes any patent claims that the Initial Developer can license that are necessarily infringed by the use of the software developed by the Initial Developer alone or in combination with the Contributor's contributions. The initial developer is the person or entity listed as the initial developer in the source code notice required by EXHIBIT A. The initial developer is the person or entity listed as the initial developer in the source code notice. Source code refers to the source code and associated interface definition files and scripts used to control the compilation and installation of executables. The executable refers to any form of software other than source code.
"●付与されるライセンスについて、第三者が知的財産権を主張する著作権ライセンスおよび特許ライセンスは除く。
●付与される著作権ライセンスには、初期開発者がライセンス可能な著作権も含まれる。
●付与される特許ライセンスには、初期開発者がライセンス可能な特許請求項のうち、初期開発者が開発したソフトウェアを単独又はコントリビュータのコントリビューションと組み合わせて用いることで、必然的に侵害される請求項も含まれる。
●初期開発者は、Exhibit Aで義務付けられているソースコード告知で初期開発者として記載された個人または団体を指す。
●ソースコードは、ソースコード、および、関連するインタフェース定義ファイル、実行形式のコンパイルやインストールの制御に使用するスクリプトを指す。 
●実行形式は、ソースコード以外の任意の形式のソフトウェアを指す。
●サブライセンスは、本ライセンスを付与された者が、再度、第三者にその付与されたライセンスを供与することを指す。","The license granted excludes copyright licenses and patent licenses in which a third party claims intellectual property rights. The copyright license granted includes copyrights that are licensable to the Initial Developer. The patent license granted includes any patent claims that the Initial Developer can license that are necessarily infringed by the use of software developed by the Initial Developer alone or in combination with Contributor's contributions. The initial developer is the person or entity listed as the initial developer in the source code notice required by EXHIBIT A. The initial developer is the person or entity listed as the initial developer in the source code notice. Source code refers to the source code and associated interface definition files and scripts used to control the compilation and installation of executables. The term ""executable"" refers to any form of software other than source code. The term ""sublicense"" refers to a person who has been granted this license to re-grant the license to a third party."
"●付与されるライセンスについて、第三者が知的財産権を主張する著作権ライセンスおよび特許ライセンスは除く。
●付与される著作権ライセンスには、初期開発者がライセンス可能な著作権も含まれる。
●付与される特許ライセンスには、初期開発者がライセンス可能な特許請求項のうち、初期開発者が開発したソフトウェアを単独又はコントリビュータのコントリビューションと組み合わせて用いることで、必然的に侵害される請求項も含まれる。
●初期開発者は、Exhibit Aで義務付けられているソースコード告知で初期開発者として記載された個人または団体を指す。
●ソースコードは、ソースコード、および、関連文書、インタフェース定義ファイル、実行形式のコンパイルやインストールの制御に使用するスクリプトを指す。
●実行形式は、ソースコード以外の任意の形式のソフトウェアを指す。","The license granted excludes copyright licenses and patent licenses in which a third party claims intellectual property rights. The copyright license granted includes copyrights that are licensable to the Initial Developer. The patent license granted includes any patent claims that the Initial Developer can license that are necessarily infringed by the use of the software developed by the Initial Developer alone or in combination with the Contributor's contributions. The initial developer is the person or entity listed as the initial developer in the source code notice required by EXHIBIT A. The initial developer is the person or entity listed as the initial developer in the source code notice. Source code refers to the source code and associated documentation, interface definition files, and scripts used to control the compilation and installation of executables. The executable refers to any form of software other than source code."
"●付与される著作権ライセンスには、初期開発者がライセンス可能な著作権も含まれる。
●付与される特許ライセンスには、初期開発者がライセンス可能な特許請求項のうち、初期開発者が開発したソフトウェアを単独又はコントリビュータのコントリビューションと組み合わせて用いることで、必然的に侵害される請求項も含まれる。
●ソースコードは、ソースコード、および、ソースコードに含まれるか付属するドキュメントを指す。",The copyright license granted includes copyrights that are licensable to the initial developer. The patent license granted includes claims of patents that are licensable by the Initial Developer that are necessarily infringed by the use of software developed by the Initial Developer alone or in combination with Contributor's contributions. ● Source Code means the source code and the documentation contained in or accompanying the source code.
"●付与される著作権ライセンスには、初期開発者がライセンス可能な著作権も含まれる。
●付与される特許ライセンスには、初期開発者がライセンス可能な特許請求項のうち、初期開発者が開発したソフトウェアを単独又はコントリビュータのコントリビューションと組み合わせて用いることで、必然的に侵害される請求項も含まれる。
●ソースコードは、ソースコード、および、ソースコードに含まれるか付属するドキュメントを指す。
●サブライセンスは、当該ライセンスを付与された者が、再度、第三者にその付与されたライセンスを供与することを指す。","The copyright license granted includes copyrights that are licensable to the initial developer. The patent license granted includes claims of patents that are licensable by the Initial Developer that are necessarily infringed by the use of software developed by the Initial Developer alone or in combination with Contributor's contributions. Source Code means the source code and any documentation contained in or accompanying the source code. The term ""sublicense"" refers to the granting of a second license by the person to whom such license was granted to a third party."
"●付与される著作権ライセンスには、初期開発者がライセンス可能な著作権も含まれる。
●付与される特許ライセンスには、初期開発者がライセンス可能な特許請求項のうち、初期開発者が開発したソフトウェアを単独又はコントリビュータのコントリビューションと組み合わせて用いることで、必然的に侵害される請求項も含まれる。
●ソースコードは、ソースコード、および、ソースコードに含まれるか付属するドキュメントを指す。
●サブライセンスは、当該ライセンスを付与された者が、再度、第三者にその付与されたライセンスを供与することを指す。
","The copyright license granted includes copyrights that are licensable to the initial developer. The patent license granted includes claims of patents that are licensable by the Initial Developer that are necessarily infringed by the use of software developed by the Initial Developer alone or in combination with Contributor's contributions. Source Code means the source code and any documentation contained in or accompanying the source code. The term ""sublicense"" refers to the granting of a second license by the person to whom such license was granted to a third party."
"●付与される著作権ライセンスには、初期開発者がライセンス可能な著作権も含まれる。
●付与される特許ライセンスには、初期開発者がライセンス可能な特許請求項のうち、初期開発者が開発したソフトウェアを単独又はコントリビュータのコントリビューションと組み合わせて用いることで、必然的に侵害される請求項も含まれる。
●ソースコードは、ソースコード、および、ソースコードに含まれるか付属するドキュメントを指す。
●実行形式は、ソースコード以外の任意の形式のソフトウェアを指す。",The copyright license granted includes copyrights that are licensable to the initial developer. The patent license granted includes claims of patents that are licensable by the Initial Developer that are necessarily infringed by the use of software developed by the Initial Developer alone or in combination with Contributor's contributions. Source code refers to the source code and the documentation contained in or accompanying the source code. Source code refers to the source code and any documentation contained in or attached to the source code.
"●付与される著作権ライセンスには、初期開発者がライセンス可能な著作権も含まれる。
●付与される特許ライセンスには、初期開発者がライセンス可能な特許請求項のうち、初期開発者が開発したソフトウェアを単独又はコントリビュータのコントリビューションと組み合わせて用いることで、必然的に侵害される請求項も含まれる。
●ソースコードは、ソースコード、および、ソースコードに含まれるか付属するドキュメントを指す。
●実行形式は、ソースコード以外の任意の形式のソフトウェアを指す。
●サブライセンスは、当該ライセンスを付与された者が、再度、第三者にその付与されたライセンスを供与することを指す。","The copyright license granted includes copyrights that are licensable to the initial developer. The patent license granted includes claims of patents that are licensable by the Initial Developer that are necessarily infringed by the use of software developed by the Initial Developer alone or in combination with Contributor's contributions. Source code refers to the source code and the documentation contained in or accompanying the source code. Executable form refers to any form of software other than source code. The term ""sublicense"" refers to the granting of a second license to a third party by the person to whom such license was granted."
"●付与される著作権ライセンスには、初期開発者がライセンス可能な著作権も含まれる。
●付与される特許ライセンスには、初期開発者がライセンス可能な特許請求項のうち、初期開発者が開発したソフトウェアを単独又はコントリビュータのコントリビューションと組み合わせて用いることで、必然的に侵害される請求項も含まれる。
●ソースコードを表示、または、実行する場合、そのソースコードに当該ライセンスが含まれていればよい。
●ソースコードは、ソースコード、および、ソースコードに含まれるか付属するドキュメントを指す。
●サブライセンスは、当該ライセンスを付与された者が、再度、第三者にその付与されたライセンスを供与することを指す。","The copyright license granted includes copyrights that are licensable to the initial developer. The patent license granted includes any claim that is licensable by the initial developer that is necessarily infringed by the use of software developed by the initial developer alone or in combination with the contributor's contributions. If the source code is displayed or executed, the source code need only contain such a license. Source code refers to the source code and any documentation contained in or accompanying the source code. The term ""sublicense"" refers to the granting of a second license to a third party by the person to whom the license was granted."
"●付与される著作権ライセンスには、初期開発者がライセンス可能な著作権も含まれる。
●付与される特許ライセンスには、初期開発者がライセンス可能な特許請求項のうち、初期開発者が開発したソフトウェアを単独又はコントリビュータのコントリビューションと組み合わせて用いることで、必然的に侵害される請求項も含まれる。
●実行形式は、ソースコード以外の任意の形式のソフトウェアを指す。
●ソースコードは、ソースコード、および、ソースコードに含まれるか付属するドキュメントを指す。",The copyright license granted includes copyrights that are licensable to the initial developer. The patent license granted includes claims that are necessarily infringed by the use of software developed by the initial developer alone or in combination with the contributor's contributions. ● Executable form refers to software in any form other than source code. Source code refers to the source code and any documentation included in or accompanying the source code.
"●付与される著作権ライセンスには、初期開発者がライセンス可能な著作権も含まれる。
●付与される特許ライセンスには、初期開発者がライセンス可能な特許請求項のうち、初期開発者が開発したソフトウェアを単独又はコントリビュータのコントリビューションと組み合わせて用いることで、必然的に侵害される請求項も含まれる。
●実行形式は、ソースコード以外の任意の形式のソフトウェアを指す。
●ソースコードは、ソースコード、および、ソースコードに含まれるか付属するドキュメントを指す。
●サブライセンスは、当該ライセンスを付与された者が、再度、第三者にその付与されたライセンスを供与することを指す。","The copyright license granted includes copyrights that are licensable to the initial developer. The patent license granted includes claims that are necessarily infringed by the use of software developed by the initial developer alone or in combination with the contributor's contributions. ● Executable form refers to software in any form other than source code. Source code refers to the source code and any documentation included in or accompanying the source code. The term ""sublicense"" refers to the granting of a second license to a third party by the person to whom such license was granted."
"●付与される著作権ライセンスには、初期開発者がライセンス可能な著作権も含まれる。
●付与される特許ライセンスには、初期開発者がライセンス可能な特許請求項のうち、初期開発者が開発したソフトウェアを単独又はコントリビュータのコントリビューションと組み合わせて用いることで、必然的に侵害される請求項も含まれる。 ●実行形式は、ソースコード以外の任意の形式のソフトウェアを指す。
●ソースコードは、ソースコード、および、ソースコードに含まれるか付属するドキュメントを指す。
●サブライセンスは、当該ライセンスを付与された者が、再度、第三者にその付与されたライセンスを供与することを指す。","The copyright license granted includes copyrights that are licensable to the initial developer. The patent license granted includes claims that are necessarily infringed by the use of software developed by the initial developer alone or in combination with the contributor's contributions. ● Executable form refers to software in any form other than source code. Source code refers to the source code and any documentation included in or accompanying the source code. The term ""sublicense"" refers to the granting of a second license to a third party by the person to whom such license was granted."
"●以前の版がある場合、文書の履歴の章に題名が列記されているはずである。
●元の版の出版者から許可を得た場合、以前の版と同じ題名を使ってもよい。
●「標題紙」は、印刷された書籍の場合、実際の表紙自身に加えて、本ライセンスが表紙に掲載することを義務付ける文章や図などを実際の表紙に引き続いて読みやすい形で掲載するのに必要になる数ページもさす。表紙に類するものがない形式で発表される著作物の場合、本文の始まりに先だって、その著作物の題名が最も目立つ形で現れる場所の近くに置かれる文章をさす。","If there is an earlier edition, the title should be listed in the history section of the document. If permission has been obtained from the publisher of the original edition, the same title as the previous edition may be used. In the case of a printed book, the ""title page"" refers to the actual cover page itself, plus any number of pages required by this license to contain the text, illustrations, etc., that the license requires to appear on the cover page in a readable form following the actual cover page. In the case of a work published in a form that has no equivalent to a cover, it is the text that precedes the beginning of the text and is placed near the place where the work's title appears most prominently."
"●余地がある時は、本ライセンスを含めるべきである。

●原著作者の著作権表示がなければ、次の注記事項(ハイパテキストを推奨する、テキストでもよい)を含める。
■
注記事項はこちら：ここから->
""Copyright © [$date-of-document] World Wide Web Consortium, (Massachusetts Institute of Technology, European Research Consortium for Informatics and Mathematics, Keio University, Beihang). All Rights Reserved. http://www.w3.org/Consortium/Legal/2002/copyright-documents-20021231""
<-ここまで
■
""World Wide Web Consortium""のリンク先は http://www.w3.org/
■
""Massachusetts Institute of Technology""のリンク先は http://www.csail.mit.edu/
■
""European Research Consortium for Informatics and Mathematics""のリンク先は http://www.ercim.org/
■
""Keio University""のリンク先は http://www.keio.ac.jp/
■
""Beihang""のリンク先は http://ev.buaa.edu.cn/
■
""http://www.w3.org/Consortium/Legal/2002/copyright-documents-20021231""のリンク先は
http://www.w3.org/Consortium/Legal/2002/copyright-documents-20021231","Whenever there is room, this license should be included. If there is no copyright notice from the original author, include the following notes (hypertext is recommended, or text is acceptable). ■Click here for notes: here->""Copyright © [$date-of-document] World Wide Web Consortium, (Massachusetts Institute of Technology, European Research Consortium for Informatics and Mathematics, Keio University, Beihang). All Rights Reserved. http://www.w3.org/Consortium/Legal/2002/copyright-documents-20021231""<- Here is the link to the ""World Wide Web Consortium"" at http www.w3.org/■""Massachusetts Institute of Technology"" can be found at http://www.csail.mit.edu/■""European Research Consortium for Informatics and The link to ""Mathematics"" is http://www.ercim.org/■The link to ""Keio University"" is http://www.keio.ac.jp/■The link to ""Beihang"" is http://ev.buaa.edu.cn/■""http The link to ://www.w3.org/Consortium/Legal/2002/copyright-documents-20021231"" is http://www.w3.org/Consortium/Legal/2002/copyright-documents -20021231"
"●余地がある時は、本ライセンスを含めるべきである。

●原著作者の著作権表示がなければ、次の注記事項(ハイパテキストを推奨する、テキストでもよい)を含める。
■
注記事項はこちら：ここから->
""Copyright © [$date-of-document] World Wide Web Consortium, (Massachusetts Institute of Technology, Institut National de Recherche en Informatique et en Automatique, Keio University). All Rights Reserved. http://www.w3.org/Consortium/Legal/""
<-ここまで
■
""World Wide Web Consortium""のリンク先は
http://www.w3.org/
■
""Massachusetts Institute of Technology""のリンク先は
http://www.lcs.mit.edu/
■
""Institut National de Recherche en Informatique et en Automatique""のリンク先は
http://www.inria.fr/
■
""Keio University""のリンク先は
http://www.keio.ac.jp/","Whenever there is room, this license should be included. If there is no copyright notice from the original author, include the following notes (hypertext is recommended, or text is acceptable). ■Click here for notes: here->""Copyright © [$date-of-document] World Wide Web Consortium, (Massachusetts Institute of Technology, Institut National de Recherche en Informatique et en Automatique, Keio University). All Rights Reserved. http://www.w3.org/Consortium/Legal/""<- Here is a link to the ""World Wide Web Consortium"" at http://www.w3.org/■""Massachusetts Institute of Technology"" can be found at http://www.lcs.mit.edu/■""Institut National de Recherche en Informatique et en Automatique"" can be found at http://www. inria.fr/■""Keio University"" can be found at http://www.lcs.mit.edu/. The link to ""Keio University"" can be found at http://www.keio.ac.jp/. inria.fr/■""Keio University""."
"●元々のスキーマファイルはこちらにある。
■
http://schemas.xmlsoap.org/wsdl/http/
■
http://schemas.xmlsoap.org/wsdl/soap/
■
http://schemas.xmlsoap.org/wsdl/
■
http://schemas.xmlsoap.org/wsdl/mime/",●The original schema file can be found here. ■http://schemas.xmlsoap.org/wsdl/http/■http://schemas.xmlsoap.org/wsdl/soap/■http://schemas.xmlsoap.org/wsdl/■http://schemas. xmlsoap.org/wsdl/mime/
"●元々のファイルの入手先として、Open Applications Groupへの参照を示す。
●著作権表示の内容はこちら：
""Copyright (c) Open Applications Group. All Rights Reserved""
●表示する余地がある場合、本ライセンスを提供する。
●著作権表示は、当該ファイルの内容の実装に関連して自身が作成したソフトウェア、文書、製品などにも含める。","A reference to the Open Applications Group is given as the original source of the file. Copyright (c) Open Applications Group. If you have room to do so, you provide this license. ● Copyright notice must also be included on any software, documentation, products, etc. you create in connection with the implementation of the contents of the file."
"●全体としては文書の派生物とみなさない編集著作物に含まれる文書に対して表紙テキストの掲載が要求されている場合、含まれる文書の量がその編集著作物全体の半分未満であれば、文書の表紙テキストは文書を囲む中表紙に配置すればよい。電子版の文書も同等に扱う。含まれる文書の量がその編集著作物全体の半分以上であれば、文書の表紙テキストはその編集著作物全体の印刷された表紙に掲載する。 
●「表紙テキスト」は、文書を本ライセンスの下で発表することを述べた告知の中で、表表紙テキスト、もしくは、裏表紙テキストとして列挙された短い文章をさす。表表紙テキストは多くても5語程度、裏表紙テキストは多くても25語程度とする。","If the cover text is required for a document contained in a compilation that is not considered a derivative of the document as a whole, the document's cover text may be placed on the inside front cover surrounding the document if the amount of the included document is less than half of the entire compilation. The electronic version of the document shall be treated equally. If the amount of documents included is more than half of the entire edited work, the document's cover text should appear on the printed cover of the entire edited work. The ""Cover Text"" is the front cover text, or a short piece of text listed as the back cover text, in a notice stating that the document is being published under this license. The front cover text shall be at most 5 words and the back cover text shall be at most 25 words."
"●初期開発者に対しても同様で、責任を引き受ける場合、自己責任として行なうことはできるが、初期開発者のために行なうことはできない。自己責任として行なうことによって、初期開発者に責任や賠償要求が出た場合には、これらの人や法人に損害が及ぶことを防ぐとともに損害を補償する必要がある。
●初期開発者、あるいは、コントリビュータにかかる責任について、ソフトウェアに関連する知的財産権の主張から生じる責任は除外する。
●初期開発者は、Exhibit Aで義務付けられているソースコード告知で初期開発者として記載された個人または団体を指す。","The same is true for the early developers. When accepting liability, the developer may take responsibility for himself or herself, but not for the early developers. The same is true for the Early Developers. If the Early Developers are held liable or indemnification is demanded of them, they must be prevented from being injured and must be compensated for their losses. The liability of the initial developers or contributors is excluded from any intellectual property claims relating to the software. The initial developer is the person or entity listed as the initial developer in the source code notice required by EXHIBIT A. The initial developer is the person or entity listed as the initial developer in the source code notice required by EXHIBIT A."
"●初期開発者に対しても同様で、責任を引き受ける場合、自己責任として行なうことはできるが、初期開発者のために行なうことはできない。自己責任として行なうことによって、初期開発者に責任や賠償要求が出た場合には、これらの人や法人に損害が及ぶことを防ぐとともに損害を補償する必要がある。
●初期開発者は、Exhibit Aで義務付けられているソースコード告知で初期開発者として記載された個人または団体をさす。","The same is true for the early developers. When accepting liability, the developer may take responsibility for himself or herself, but not for the early developers. The same is true for the Initial Developer. If the Initial Developer is held responsible or is required to pay compensation, it is necessary to prevent the Initial Developer from being held liable and to compensate the Initial Developer for any damages. Early Developers are the persons or entities listed as Early Developers in the mandatory EXHIBIT A source code notice."
"●初期開発者に対しても同様で、責任を引き受ける場合、自己責任として行なうことはできるが、初期開発者のために行なうことはできない。自己責任として行なうことによって、初期開発者に責任や賠償要求が出た場合には、これらの人や法人に損害が及ぶことを防ぐとともに損害を補償する必要がある。
●初期開発者は、Exhibit Aで義務付けられているソースコード告知で初期開発者として記載された個人または団体を指す。","The same is true for the early developers. When accepting liability, the developer may take responsibility for himself or herself, but not for the early developers. The same is true for the Initial Developer. If the Initial Developer is held responsible or is required to pay compensation, it is necessary to prevent the Initial Developer from being held liable and to compensate the Initial Developer for any damages. Early Developers are the persons or entities listed as Early Developers in the source code notices required by EXHIBIT A. Early Developers are not required to be responsible for their own work."
"●取得したオブジェクトをそのまま使う。
●オブジェクトは、コンパイルされたオブジェクトコード、生成されたドキュメント、他のメディアへの変換物など、ソースの機械的な変換によって生じるファイルなどを指す。","Use the acquired object as it is. Objects are files that result from mechanical transformation of the source, such as compiled object code, generated documents, and conversions to other media."
"●取得したオブジェクトをそのまま再頒布する。

●オブジェクトは、コンパイルされたオブジェクトコード、生成されたドキュメント、他のメディアへの変換物など、ソースの機械的な変換によって生じるファイルなどを指す。","Redistribute the acquired object as is. Objects are files resulting from the mechanical transformation of the source, such as compiled object code, generated documents, and conversions to other media."
"●取得したソースをそのまま使う。
●ソースは、ソフトウェアのソースコード、ドキュメントソース、設定ファイルなど、変更を加えることに適したファイルなどを指す。","The source code is used as it is. The source refers to software source code, document sources, configuration files, and other files suitable for making changes."
"●取得したソースをそのまま再頒布する。

●ソースは、ソフトウェアのソースコード、ドキュメントソース、設定ファイルなど、変更を加えることに適したファイルなどを指す。",Redistribute the source as is. Redistribute the source code as it was obtained.
"●合理的に実施可能である場合、著作物のURI(Uniform Resource Identifier)あるいはハイパーリンクを含める。 
●クレジットや著作権表示、本ライセンスに関する情報の提供は、著作物を共有する媒体、手段、文脈において合理的な方法で満たしてもよい。たとえば、必要とされる情報を含むURI(Uniform Resource Identifier)やハイパーリンクがある場合、そのURIやハイパーリンクを合理的に実施可能な範囲で提示することで条件を満たすものとする。 
●ライセンスされた権利にデータベース権が含まれる場合、データベースの全て、もしくは、実質的な部分を抽出、使用、複製、共有する権利が許諾されるものとする。 
●著作権や同様の権利は、どのようにラベル付けや分類されたかに関わらず、実演、放送、録音、データベース権を含むがそれに限らない、著作権や著作権に密接に関係する同様の権利をさす。ただし、本ライセンスでは、2(b)(1)-(2)に書かれた権利は、著作権や同様の権利とはみなさないものとする。
●効果的な技術的手段は、1996年12月20日に採択された世界知的所有権機関(WIPO)の著作権に関する条約の11条や同等の国際協定の下で義務を満たす法の下で、適切な権限がなければ回避してはならない技術的手段をさす。
●ライセンスされた著作物は、ライセンサが本ライセンスを適用する芸術作品や文学作品、データベースなどの著作物をさす。
●ライセンスされた権利は、本ライセンスの条項に従って自身に許諾されるライセンスをさす。そのライセンスされた権利は、自身にライセンスされた著作物の利用に適用され、かつ、許諾する権限をライセンサがもつ、著作権や同様の権利に制限される。
●ライセンサは、本ライセンスの下で権利を許諾する個人または団体をさす。
●共有は、ライセンスされた権利で許諾が必要な手段やプロセスによって、著作物を公衆に提供することをさす。共有は、複製、公共での表示、公共での実演、頒布、普及、通信、もしくは、輸入、および、公衆が各自で選択した場所や時間に著作物にアクセスするような方法を含む、著作物を公衆に提供できるようにすることをさす。
●データベース権は、改訂版や後継バージョンを含む、データベースの法的保護に関する欧州議会/閣僚理事会指令(EC Database Directive)に基づく著作権以外の権利や本質的に同等な各国の権利をさす。
●自身は、本ライセンスの下で権利を行使する個人または団体をさす。","If reasonably practicable, include a Uniform Resource Identifier (URI) or hyperlink to the work. The provision of credits, copyright notices, and information about this license may be satisfied in a manner that is reasonable in the medium, medium, and context in which the work is shared. For example, if there is a Uniform Resource Identifier (URI) or hyperlink containing the required information, the condition shall be satisfied by presenting the URI or hyperlink to the extent reasonably practicable. If the licensed rights include database rights, you are granted the right to extract, use, reproduce and share all or substantial portions of the database. Copyright and similar rights, regardless of how they are labeled or classified, including, but not limited to, performance, broadcast, sound recording, and database rights, are copyright and similar rights closely related to copyright. However, for purposes of this license, the rights described in 2(b)(1)-(2) shall not be considered copyright or similar rights. An effective technical measure is a technical measure that may not be circumvented without proper authorization under the law satisfying obligations under Article 11 of the World Intellectual Property Organization (WIPO) Convention on Copyright, adopted on 20 December 1996, or equivalent international agreements. Licensed Works are works of art, literature, databases and other works of authorship to which the Licensor applies this License. Licensed Rights refers to the license granted to Licensor in accordance with the terms of this License. The Licensed Rights are limited to the copyrights and similar rights that Licensor has the authority to grant and that apply to the use of works licensed to it. Licensor is the person or entity granting the rights under this License. Sharing means making a work available to the public by any means or process that requires a license for licensed rights. Sharing means making a work available to the public, including reproduction, public display, public performance, distribution, dissemination, communication, or importation, and in such a way as to enable the public to access the work at a place and time of their choosing. The term ""database rights"" refers to non-copyright or essentially equivalent national rights under the EC Database Directive on the legal protection of databases, including any revised or successor versions. itself is the person or entity exercising the rights under this licence."
