Fedora Full Name	SPDX id	Upstream URL	Fedora Notes	other notes
Intel IPW3945 Daemon License		https://fedoraproject.org/wiki/Licensing/Intel_IPW3945_Daemon_License	No source permissions, binary EULA	see notes on page
Jahia Community Source License		http://www.jahia.org/jahia/Jahia/pid/145		
JSON License	JSON	http://www.json.org/license.html	The clause "The Software shall be used for Good, not Evil." is impossible to parse or comply with.	
lha license		http://packages.debian.org/changelogs/pool/non-free/l/lha/current/copyright		
License Agreement for Application Response Measurement (ARM) SDK		https://fedoraproject.org/wiki/Licensing/ApplicationResponseMeasurementSDKLicense	see notes on license page	This is non-free, because there is no permission to redistribute modified versions of code under this license, only to "Make copies of the original file you download and distribute it". That, combined with: "Except as expressly stated above, HP and tang-IT grant no other licenses, express or implied, by estoppel or otherwise, to any intellectual property rights." means that we cannot assume permission to distribute modified/derived works is implied.
Maia Mailguard License		http://www.maiamailguard.org/license.php		broken link
MAME License		http://mamedev.org/legal.html	Commercial use restrictions	broken link (now under GPLv2)
McRae General Public License		https://pgl.yoyo.org/license/	Commercial use restrictions	
MeepZor Consulting Public Licence		http://meepzor.com/packages/autoresponder/LICENCE.txt	Deprecated, upstream uses ASL 2.0 now	
Metasploit Framework License (pre 2006)		https://fedoraproject.org/wiki/Licensing/Metasploit_Framework_License		There are two versions of this license.  1) Up to 2006, Metasploit was under a non-free license, originally found at: http://metasploit.com/svn/framework3/trunk/documentation/LICENSE but that URL is gone. A copy of that version from archive.org has been preserved here for reference.  2) At some point in 2006, Metasploit's Framework License switched to 3-clause BSD, which is Free and GPL-compatible. It is noteworthy that the license text also tracks and includes the licensing for all of the bundled components within Metasploit. A copy of this license was taken from https://github.com/rapid7/metasploit-framework/blob/master/LICENSE on May 9, 2014.
Microsoft's Shared Source CLI/C#/Jscript License		https://fedoraproject.org/wiki/Licensing/Microsoft_Shared_Source_License		
MSNTP License		https://fedoraproject.org/wiki/Licensing/MSNTP	Commercial use restrictions	
mrouted license (old)		https://fedoraproject.org/wiki/Licensing/mrouted		see notes on page
NASA CDF License		https://fedoraproject.org/wiki/Licensing/NasaCDF	Commercial use restrictions, poorly worded	
NASA Open Source Agreement v1.3	NASA-1.3	https://fedoraproject.org/wiki/Licensing/NASA_Open_Source_Agreement		
Nmap Public Source License Version 0.92 (NPSL)		https://nmap.org/npsl/npsl-annotated.html	The "Proprietary software companies" text in the preamble is a field of use restriction.	
OCLC Public Research License 2.0	OSLC-2.0	http://opensource.org/licenses/oclc2.php	Appears to limit the price at which a copy can be charged, not just simply prohibiting imposition of royalties.	
Open CASCADE Technology Public License	OCCT-exception-1.0	https://fedoraproject.org/wiki/Licensing/Open_CASCADE_Technology_Public_License		this sounds like it should be a good license?  "According to fedora-legal [1] the licence allows OCCT to be included in fedora repos. It was archived from a copy taken from http://www.opencascade.org/getocc/license/ on 14-Apr-2020  [1] https://lists.fedoraproject.org/archives/list/legal@lists.fedoraproject.org/thread/TXITDIY4Y6A4BCJEFQDDAVHKBPCWUQG4/  "
Open Group Test Suite License	OGTSL	http://opensource.org/licenses/opengroup.php	Same flaws as Artistic 1.0	review w/Artistic
Open Map License		http://openmap.bbn.com/license.html	Derived from Artistic 1.0, has same flaws	review w/Artistic
Open Motif Public End User License		http://www.opengroup.org/openmotif/license/	Commercial use restrictions	
Open Public License	OPL-1.0	https://fedoraproject.org/wiki/Licensing/Open_Public_License		
OSGi Specification License		http://www.osgi.org/Main/OSGiSpecificationLicense	Forbids modification	
Paul Hsieh Derivative License		http://www.azillionmonkeys.com/qed/license-derivative.html		
Paul Hsieh Exposition License		http://www.azillionmonkeys.com/qed/license-exposition.html		
Pine License		http://www.washington.edu/pine/overview/legal.html		
qmail License		http://cr.yp.to/qmail/dist.html	deprecated, qmail is now public domain	
Reciprocal Public License	RPL-1.0 RPL-1.5	http://www.opensource.org/licenses/rpl.php		there are two versions of this license - are both "bad"?
Ricoh Source Code Public License	RSCPL	http://opensource.org/licenses/ricohpl.php		
Scilab License (OLD)		https://fedoraproject.org/wiki/Licensing/Scilab_License_Old	Current versions of Scilab use the CeCILL license	
Server Side Public License v1 (SSPL)	SSPL-1.0	https://fedoraproject.org/wiki/Licensing/SSPL		
SGI Free Software License B 1.1 or older	SGI-B-1.0	http://oss.sgi.com/projects/FreeB/	Version 2.0 is MIT, free and GPL compat.	why is this on the bad list, given that coment? (link broken for text, but has same name as license on SPDX
SGI GLX Public License 1.0		https://fedoraproject.org/wiki/Licensing/GLX_Public_License	All GLX code now uses Free B 2.0	The GLX 1.0 license is non-free, and yet, it was in use in XFree86 and Xorg for many years. In 2008, SGI created the SGI Free B 2.0 License (containing identical text to the MIT license), and migrated all GLX 1.0 code owned by SGI to the SGI Free B 2.0 license. (http://www.sgi.com/company_info/newsroom/press_releases/2008/september/opengl.html)  A copy of the GLX 1.0 is archived here, taken from http://web.archive.org/web/20061104002735/www.sgi.com/products/software/opensource/glx/glxlicense.txt on January 4, 2010.
Siren14 License Agreement		https://fedoraproject.org/wiki/Licensing/Siren14_Licensing_Agreement		This license is non-free. It was originally found at: http://www.polycom.com/global/pw_item_show_doc/0,,4424,00.pdf but that URL is gone. A copy of the latest available version from archive.org has been preserved here for reference. The license has been converted from PDF format to plain text.
Spin Commercial License		http://www.spinroot.com/spin/spin_license.html		
Squeak License		http://squeak.org/SqueakLicense/		
SystemC Open Source License		http://www.systemc.org/about/org_docs/license/		
Sun Binary Code License Agreement		https://fedoraproject.org/wiki/Licensing/Sun_Binary_Code_License_Agreement	Non-free, unless resolved with Supplemental License Terms	
Sun Community Source License		http://www.sun.com/software/communitysource/		sounds familiar but link broken
Sun RPC License		https://fedoraproject.org/wiki/Licensing/SunRPC	Restrictions on modification, distribution	
Sun Solaris Source Code (Foundation Release) License		http://www.mibsoftware.com/librock/librock/license/ssscfr.txt		
Sybase Open Watcom Public License 1.0	Watcom-1.0	http://opensource.org/licenses/sybase.php		
Terracotta Public License 1.0		http://svn.terracotta.org/svn/ehcache/tags/ehcache-2.9.0/distribution/src/main/assembly/root/licenses/EHCACHE-TERRACOTTA-LICENSE.txt	Attribution requirements are burdensome, unclear, and potentially impossible to comply with (Section 14)	
TrueCrypt License		http://www.truecrypt.org/legal/license		
TORQUE v2.5+ Software License v1.0			Commercial use restriction	
University of Utah Public License		http://www.cs.utah.edu/~gk/teem/txt/LICENSE.txt		
University of Washington Free Fork License		https://fedoraproject.org/wiki/Licensing/UofWFreeFork	No longer used	
unrar license		https://fedoraproject.org/wiki/Licensing/Unrar	Use restrictions, forced removal clause, see license page for details	see notes on page
Yahoo Public License 1.0	YPL-1.0	http://www.zimbra.com/license/yahoo_public_license_1.0.html		
Zimbra Public License 1.3	Zimbra-1.3	http://www.zimbra.com/license/zimbra-public-license-1-3.html	Badgeware clause does not make allowances for modifications in which it is not technically possible to preserve a 'logo', we must assume this provision constitutes an undue burden on the right of modification.	I think this is FSF free??
				
Open Content License		http://opencontent.org/opl.shtml		link broken
Open Directory License		http://dmoz.org/license.html		link broken
W3C Documentation License		http://www.w3.org/Consortium/Legal/copyright-documents	Does not permit modification, different from W3C Software License	
				
CAcert Non-Related Persons Disclaimer and License		http://www.cacert.org/policy/NRPDisclaimerAndLicence.php	No permission to redistribute	link broken
Creative Commons Attribution-NonCommercial-NoDerivs	CC-BY-NC-ND-1.0                 CC-BY-NC-ND-2.0                 CC-BY-NC-ND-2.5                 CC-BY-NC-ND-3.0                 CC-BY-NC-ND-3.0-DE                 CC-BY-NC-ND-3.0-IGO                 CC-BY-NC-ND-4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/		
Creative Commons Attribution-NonCommercial	CC-BY-NC-1.0                 CC-BY-NC-2.0                 CC-BY-NC-2.5                 CC-BY-NC-3.0                 CC-BY-NC-3.0-DE                 CC-BY-NC-4.0	http://creativecommons.org/licenses/by-nc/4.0/		
Creative Commons Attribution-NonCommercial-ShareAlike	CC-BY-NC-SA-1.0                 CC-BY-NC-SA-2.0                 CC-BY-NC-SA-2.0-FR                 CC-BY-NC-SA-2.0-UK                 CC-BY-NC-SA-2.5                 CC-BY-NC-SA-3.0                 CC-BY-NC-SA-3.0-DE                 CC-BY-NC-SA-3.0-IGO                 CC-BY-NC-SA-4.0	http://creativecommons.org/licenses/by-nc-sa/4.0/		
Creative Commons Sampling Plus 1.0		http://creativecommons.org/licenses/sampling+/1.0/legalcode		
LinuxTag Yellow OpenMusic License		http://openmusic.linuxtag.org/yellow.html	Commercial use restrictions	
Unsplash License		https://unsplash.com/license	Some use restrictions	
				
DIP SIPA Font License		https://fedoraproject.org/wiki/Licensing/DIP_SIPA_Font_License	Restrictions on modification	
Larabie Fonts License		https://fedoraproject.org/wiki/Licensing/LarabieFontsLicense	Cannot modify	
Literat Font License		https://fedoraproject.org/wiki/Licensing/LiteratFontLicense	Cannot modify	
Ubuntu Font License		https://fedoraproject.org/wiki/Licensing/UbuntuFontLicense	Poorly written, cannot actually use fonts	
