best,alternative,automatic
Qualcomm Atheros Notice,metaeffekt:Qualcomm Atheros Notice,true
Qualcomm Atheros Notice,Qualcomm-Atheros-Notice,true
Qualcomm Atheros Notice,metaeffekt:Qualcomm-Atheros-Notice,true
Qualcomm Atheros Notice,Qualcomm Atheros,false
QualcommAtheros Firmware License,metaeffekt:QualcommAtheros Firmware License,true
QualcommAtheros Firmware License,QualcommAtheros-Firmware,true
QualcommAtheros Firmware License,metaeffekt:QualcommAtheros-Firmware,true
QualcommAtheros Firmware License,Firmware,false
QualcommAtheros Firmware License,scancode:qca-linux-firmware,false
//www.quirksmode.org/about/copyright.html,http://www.quirksmode.org/about/copyright.html,true
QSkinny Header Exception (LGPL-2.1),metaeffekt:QSkinny Header Exception (LGPL-2.1),true
QSkinny Header Exception (LGPL-2.1),QSkinny-Header-Exception-LGPL-2.1,true
QSkinny Header Exception (LGPL-2.1),metaeffekt:QSkinny-Header-Exception-LGPL-2.1,true
QSkinny Header Exception (LGPL-2.1),QSkinny Exception to LGPL 2.1,false
QSkinny Header Exception (LGPL-2.1),QSkinny Header Exception,false
QSkinny Header Exception (LGPL-2.1),qskinny-exception-lgpl-2.1,false
QSkinny Header Exception (LGPL-2.1),scancode:qskinny-exception-lgpl-2.1,false
Qwen License Agreement (2024-09-19),metaeffekt:Qwen License Agreement (2024-09-19),true
Qwen License Agreement (2024-09-19),Qwen-2024-09-19,true
Qwen License Agreement (2024-09-19),metaeffekt:Qwen-2024-09-19,true
Qwen License Agreement (2024-09-19),Qwen,false
Qwen License Agreement (2024-09-19),Qwen License Agreement (19 September 2024),false
Qwen License Agreement (2024-09-19),scancode:qwen-2024,false
Qwen Research License Agreement (2024-09-19),metaeffekt:Qwen Research License Agreement (2024-09-19),true
Qwen Research License Agreement (2024-09-19),Qwen-Research-2024-09-19,true
Qwen Research License Agreement (2024-09-19),metaeffekt:Qwen-Research-2024-09-19,true
Qwen Research License Agreement (2024-09-19),Qwen Research,false
Qwen Research License Agreement (2024-09-19),Qwen RESEARCH LICENSE AGREEMENT,false
Qwen Research License Agreement (2024-09-19),Qwen Research License Agreement (19 September 2024),false
Paint,metaeffekt:Paint,true
Paint,Paint License,true
Paint,metaeffekt:Paint License,true
Paint,scancode:paint-net,false
//www.panda3d.org/license.txt,http://www.panda3d.org/license.txt,true
Panda 3D Public License 1.0,metaeffekt:Panda 3D Public License 1.0,true
Panda 3D Public License 1.0,Panda-3D-Public-License-1.0,true
Panda 3D Public License 1.0,metaeffekt:Panda-3D-Public-License-1.0,true
Panda 3D Public License 1.0,http://www.panda3d.org/license.txt,false
Panda 3D Public License 1.0,Panda 3D Public License,false
Panda 3D Public License 1.0,PANDA 3D SOFTWARE LICENSE AND DOWNLOAD TERMS,false
Panda 3D Public License 1.0,Panda3D Public License Version 1.0,false
Papermark Commercial License,metaeffekt:Papermark Commercial License,true
Papermark Commercial License,Papermark-Commercial,true
Papermark Commercial License,metaeffekt:Papermark-Commercial,true
Papermark Commercial License,Papermark Commercial,false
Patent License Open Source Exception,metaeffekt:Patent License Open Source Exception,true
Patent License Open Source Exception,Patent-OpenSource-Exception,true
Patent License Open Source Exception,metaeffekt:Patent-OpenSource-Exception,true
Pathway Exception (BSL-1.1),metaeffekt:Pathway Exception (BSL-1.1),true
Pathway Exception (BSL-1.1),Pathway-Exception-BSL-1.1,true
Pathway Exception (BSL-1.1),metaeffekt:Pathway-Exception-BSL-1.1,true
Pathway Exception (BSL-1.1),Pathway additional use grant for BSL,false
Pathway Exception (BSL-1.1),Pathway Additional Use Grant for BSL 1.1,false
Pathway Exception (BSL-1.1),Pathway Exception,false
Patrick Powell License,metaeffekt:Patrick Powell License,true
Patrick Powell License,Patrick-Powell,true
Patrick Powell License,metaeffekt:Patrick-Powell,true
Patrick Powell License,Patrick Powell,false
Paul Vixie License,metaeffekt:Paul Vixie License,true
Paul Vixie License,Paul-Vixie,true
Paul Vixie License,metaeffekt:Paul-Vixie,true
Paul Vixie License,Paul Vixie,false
Paul Vixie License,Paul-Vixie's-license,false
PayPal SDK License,metaeffekt:PayPal SDK License,true
PayPal SDK License,PayPal-SDK,true
PayPal SDK License,metaeffekt:PayPal-SDK,true
PayPal SDK License,PayPal SDK,false
PayPal SDK License,scancode:paypal-sdk-2013-2016,false
//www.pcre.org/licence.txt,http://www.pcre.org/licence.txt,true
//www.pdmagic.com/,http://www.pdmagic.com/,true
PEP 401 License,metaeffekt:PEP 401 License,true
PEP 401 License,PEP-402-License,true
PEP 401 License,metaeffekt:PEP-402-License,true
PEP 401 License,PEP License,false
Perl Net RDap License,metaeffekt:Perl Net RDap License,true
Perl Net RDap License,perl-net-rdap-license,true
Perl Net RDap License,metaeffekt:perl-net-rdap-license,true
Permission Terms (Acer),metaeffekt:Permission Terms (Acer),true
Permission Terms (Acer),PT-Acer,true
Permission Terms (Acer),metaeffekt:PT-Acer,true
Permission Terms (Acer),Permission,false
Permission Terms (Acer),scancode:x11-acer,false
Permission Terms (Acer),X11-Style (Acer),false
Permission Terms (Adobe-DEC),metaeffekt:Permission Terms (Adobe-DEC),true
Permission Terms (Adobe-DEC),PT-Adobe-DEC,true
Permission Terms (Adobe-DEC),metaeffekt:PT-Adobe-DEC,true
Permission Terms (Adobe-DEC),Permission,false
Permission Terms (Adobe-DEC),scancode:x11-adobe-dec,false
Permission Terms (Adobe-DEC),X11-Style (Adobe-DEC),false
Permission Terms (BCP-78; no warranty),metaeffekt:Permission Terms (BCP-78; no warranty),true
Permission Terms (BCP-78; no warranty),PT-BCP-78,true
Permission Terms (BCP-78; no warranty),metaeffekt:PT-BCP-78,true
Permission Terms (BCP-78; no warranty),Permission,false
Permission Terms (BCP-78; no warranty),Permission Terms (BCP-78),false
Permission Terms (CEChew),metaeffekt:Permission Terms (CEChew),true
Permission Terms (CEChew),PT-CEChew,true
Permission Terms (CEChew),metaeffekt:PT-CEChew,true
Permission Terms (CEChew),Permission,false
Permission Terms (CR),metaeffekt:Permission Terms (CR),true
Permission Terms (CR),PT-CR,true
Permission Terms (CR),metaeffekt:PT-CR,true
Permission Terms (CR),Permission,false
Permission Terms (CS),metaeffekt:Permission Terms (CS),true
Permission Terms (CS),PT-CS,true
Permission Terms (CS),metaeffekt:PT-CS,true
Permission Terms (CS),Permission,false
Permission Terms (Callstats),metaeffekt:Permission Terms (Callstats),true
Permission Terms (Callstats),PT-Callstats,true
Permission Terms (Callstats),metaeffekt:PT-Callstats,true
Permission Terms (Callstats),Permission,false
Permission Terms (Carnegie Mellon),metaeffekt:Permission Terms (Carnegie Mellon),true
Permission Terms (Carnegie Mellon),PT-Carnegie-Mellon,true
Permission Terms (Carnegie Mellon),metaeffekt:PT-Carnegie-Mellon,true
Permission Terms (Carnegie Mellon),Carnegie Mellon Template License,false
Permission Terms (Carnegie Mellon),scancode:cmu-template,false
Permission Terms (Carnegie Mellon),Permission,false
Permission Terms (Carnegie Mellon University Flite),metaeffekt:Permission Terms (Carnegie Mellon University Flite),true
Permission Terms (Carnegie Mellon University Flite),PT-Carnegie-Mello-Flite,true
Permission Terms (Carnegie Mellon University Flite),metaeffekt:PT-Carnegie-Mello-Flite,true
Permission Terms (Carnegie Mellon University Flite),scancode:cmu-flite,false
Permission Terms (Carnegie Mellon University Flite),Permission,false
Permission Terms (DSC Technologies),metaeffekt:Permission Terms (DSC Technologies),true
Permission Terms (DSC Technologies),PT-DSC,true
Permission Terms (DSC Technologies),metaeffekt:PT-DSC,true
Permission Terms (DSC Technologies),Permission,false
Permission Terms (DSC Technologies),scancode:x11-dsc,false
Permission Terms (DSC Technologies),X11-Style (DSC Technologies),false
Permission Terms (David R. Hanson),metaeffekt:Permission Terms (David R. Hanson),true
Permission Terms (David R. Hanson),PT-Hanson,true
Permission Terms (David R. Hanson),metaeffekt:PT-Hanson,true
Permission Terms (David R. Hanson),Permission,false
Permission Terms (David R. Hanson),scancode:x11-hanson,false
Permission Terms (David R. Hanson),X11-Style (David R. Hanson),false
Permission Terms (DeepFloyd),metaeffekt:Permission Terms (DeepFloyd),true
Permission Terms (DeepFloyd),PT-DeepFloyd,true
Permission Terms (DeepFloyd),metaeffekt:PT-DeepFloyd,true
Permission Terms (DeepFloyd),MIT Deepfloyd License,false
Permission Terms (DeepFloyd),MIT license deepfloyd,false
Permission Terms (DeepFloyd),Permission,false
Permission Terms (Digital Equipment Corporation),metaeffekt:Permission Terms (Digital Equipment Corporation),true
Permission Terms (Digital Equipment Corporation),PT-DEC,true
Permission Terms (Digital Equipment Corporation),metaeffekt:PT-DEC,true
Permission Terms (Digital Equipment Corporation),Permission,false
Permission Terms (Digital Equipment Corporation),scancode:x11-dec1,false
Permission Terms (Digital Equipment Corporation),X11-Style (DEC 1),false
Permission Terms (Dr John Maddock),metaeffekt:Permission Terms (Dr John Maddock),true
Permission Terms (Dr John Maddock),PM-Dr-John-Maddock,true
Permission Terms (Dr John Maddock),metaeffekt:PM-Dr-John-Maddock,true
Permission Terms (Dr John Maddock),Dr John Maddock License,false
Permission Terms (Dr John Maddock),scancode:dr-john-maddock,false
Permission Terms (Dr John Maddock),Permission,false
Permission Terms (GAP),metaeffekt:Permission Terms (GAP),true
Permission Terms (GAP),PT-GAP,true
Permission Terms (GAP),metaeffekt:PT-GAP,true
Permission Terms (GAP),Permission,false
Permission Terms (HL),metaeffekt:Permission Terms (HL),true
Permission Terms (HL),PT-HL,true
Permission Terms (HL),metaeffekt:PT-HL,true
Permission Terms (HL),scancode:ntpl-origin,false
Permission Terms (HL),Permission,false
Permission Terms (IBM),metaeffekt:Permission Terms (IBM),true
Permission Terms (IBM),PT-IBM,true
Permission Terms (IBM),metaeffekt:PT-IBM,true
Permission Terms (IBM),Permission,false
Permission Terms (ITU/ISO/IEC),metaeffekt:Permission Terms (ITU/ISO/IEC),true
Permission Terms (ITU/ISO/IEC),PT-ITU-ISO-IEC,true
Permission Terms (ITU/ISO/IEC),metaeffekt:PT-ITU-ISO-IEC,true
Permission Terms (ITU/ISO/IEC),JPEG XR License,false
Permission Terms (ITU/ISO/IEC),scancode:jpegxr,false
Permission Terms (ITU/ISO/IEC),Permission,false
Permission Terms (Inria),metaeffekt:Permission Terms (Inria),true
Permission Terms (Inria),PT-Inria,true
Permission Terms (Inria),metaeffekt:PT-Inria,true
Permission Terms (Inria),Permission,false
Permission Terms (Linux Firmware),metaeffekt:Permission Terms (Linux Firmware),true
Permission Terms (Linux Firmware),PT-Linux-Firmware,true
Permission Terms (Linux Firmware),metaeffekt:PT-Linux-Firmware,true
Permission Terms (Linux Firmware),Linux-Firmware-Permission,false
Permission Terms (Linux Firmware),Permission,false
Permission Terms (MIT Kerberos),metaeffekt:Permission Terms (MIT Kerberos),true
Permission Terms (MIT Kerberos),Permission-MIT-Kerberos,true
Permission Terms (MIT Kerberos),metaeffekt:Permission-MIT-Kerberos,true
Permission Terms (MIT Kerberos),scancode:mit-no-trademarks,false
Permission Terms (MIT Kerberos),Permission,false
Permission Terms (MIT old style variant 001),metaeffekt:Permission Terms (MIT old style variant 001),true
Permission Terms (MIT old style variant 001),PT-MIT-old-01,true
Permission Terms (MIT old style variant 001),metaeffekt:PT-MIT-old-01,true
Permission Terms (MIT old style variant 001),MIT Old Style License (001),false
Permission Terms (MIT old style variant 001),Old MIT License,false
Permission Terms (MIT old style variant 001),Permission,false
//fedoraproject.org/wiki/Licensing:MIT#Old_Style,http://fedoraproject.org/wiki/Licensing:MIT#Old_Style,true
Permission Terms (MIT old style variant 002),metaeffekt:Permission Terms (MIT old style variant 002),true
Permission Terms (MIT old style variant 002),PT-MIT-old-02,true
Permission Terms (MIT old style variant 002),metaeffekt:PT-MIT-old-02,true
Permission Terms (MIT old style variant 002),http://fedoraproject.org/wiki/Licensing:MIT#Old_Style,false
Permission Terms (MIT old style variant 002),scancode:mit-old-style,false
Permission Terms (MIT old style variant 002),Permission,false
Permission Terms (MIT old style variant 003),metaeffekt:Permission Terms (MIT old style variant 003),true
Permission Terms (MIT old style variant 003),PT-MIT-old-03,true
Permission Terms (MIT old style variant 003),metaeffekt:PT-MIT-old-03,true
Permission Terms (MIT old style variant 003),mit-old-style,false
Permission Terms (MIT old style variant 003),scancode:mit-old-style-no-advert,false
Permission Terms (MIT old style variant 003),Permission,false
Permission Terms (MIT old style variant 004),metaeffekt:Permission Terms (MIT old style variant 004),true
Permission Terms (MIT old style variant 004),PT-MIT-old-04,true
Permission Terms (MIT old style variant 004),metaeffekt:PT-MIT-old-04,true
Permission Terms (MIT old style variant 004),mit-old-style-sparse,false
Permission Terms (MIT old style variant 004),scancode:mit-old-style-sparse,false
Permission Terms (MIT old style variant 004),Permission,false
Permission Terms (Mistral AI),metaeffekt:Permission Terms (Mistral AI),true
Permission Terms (Mistral AI),PT-Mistral-AI,true
Permission Terms (Mistral AI),metaeffekt:PT-Mistral-AI,true
Permission Terms (Mistral AI),Mistral AI Modified MIT,false
Permission Terms (Mistral AI),MIT - Mistral AI,false
Permission Terms (Mistral AI),MIT License MistralAI,false
Permission Terms (Mistral AI),Permission,false
Permission Terms (Modified MIT License for Public Domain),metaeffekt:Permission Terms (Modified MIT License for Public Domain),true
Permission Terms (Modified MIT License for Public Domain),PT-Public-Domain-MIT,true
Permission Terms (Modified MIT License for Public Domain),metaeffekt:PT-Public-Domain-MIT,true
Permission Terms (Modified MIT License for Public Domain),Modified MIT License for Public Domain software,false
Permission Terms (Modified MIT License for Public Domain),scancode:pd-mit,false
Permission Terms (Modified MIT License for Public Domain),Permission,false
Permission Terms (NVIDIA),metaeffekt:Permission Terms (NVIDIA),true
Permission Terms (NVIDIA),PT-NVIDIA,true
Permission Terms (NVIDIA),metaeffekt:PT-NVIDIA,true
Permission Terms (NVIDIA),NVIDIA Permission,false
Permission Terms (NVIDIA),Permission,false
Permission Terms (Nice License),metaeffekt:Permission Terms (Nice License),true
Permission Terms (Nice License),PT-Nice,true
Permission Terms (Nice License),metaeffekt:PT-Nice,true
Permission Terms (Nice License),scancode:nice,false
Permission Terms (Nice License),Nice License 1.0.0,false
Permission Terms (Nice License),Permission,false
Permission Terms (PBM Library),metaeffekt:Permission Terms (PBM Library),true
Permission Terms (PBM Library),PT-PBM-Library,true
Permission Terms (PBM Library),metaeffekt:PT-PBM-Library,true
Permission Terms (PBM Library),scancode:libpbm,false
Permission Terms (PBM Library),PBM Library License,false
Permission Terms (PBM Library),Permission,false
Permission Terms (PKINIT),metaeffekt:Permission Terms (PKINIT),true
Permission Terms (PKINIT),PT-PKINIT,true
Permission Terms (PKINIT),metaeffekt:PT-PKINIT,true
Permission Terms (PKINIT),scancode:michigan-disclaimer,false
Permission Terms (PKINIT),Permission,false
Permission Terms (Pruy),metaeffekt:Permission Terms (Pruy),true
Permission Terms (Pruy),PT-Pruy,true
Permission Terms (Pruy),metaeffekt:PT-Pruy,true
Permission Terms (Pruy),OpenCoDE:PT-Pruy,true
Permission Terms (Pruy),Permission,false
Permission Terms (Pruy),Pruy License,false
Permission Terms (Putty),metaeffekt:Permission Terms (Putty),true
Permission Terms (Putty),PT-Putty,true
Permission Terms (Putty),metaeffekt:PT-Putty,true
Permission Terms (Putty),PT,false
Permission Terms (Python CWI),metaeffekt:Permission Terms (Python CWI),true
Permission Terms (Python CWI),PT-Python-CWI,true
Permission Terms (Python CWI),metaeffekt:PT-Python-CWI,true
Permission Terms (Python CWI),Permission,false
Permission Terms (Python CWI),Python CWI License Agreement,false
Permission Terms (Python CWI),scancode:python-cwi,false
Permission Terms (Quarterdeck),metaeffekt:Permission Terms (Quarterdeck),true
Permission Terms (Quarterdeck),PT-Quarterdeck,true
Permission Terms (Quarterdeck),metaeffekt:PT-Quarterdeck,true
Permission Terms (Quarterdeck),Permission,false
Permission Terms (Quarterdeck),scancode:x11-quarterdeck,false
Permission Terms (Quarterdeck),X11-Style (Quarterdeck),false
Permission Terms (RSA-MD; no representation; no warranty),metaeffekt:Permission Terms (RSA-MD; no representation; no warranty),true
Permission Terms (RSA-MD; no representation; no warranty),PT-RSA-MD,true
Permission Terms (RSA-MD; no representation; no warranty),metaeffekt:PT-RSA-MD,true
Permission Terms (RSA-MD; no representation; no warranty),Permission,false
Permission Terms (RSA-MD; no representation; no warranty),scancode:rsa-1990,false
Permission Terms (RUC),metaeffekt:Permission Terms (RUC),true
Permission Terms (RUC),PT-RUC,true
Permission Terms (RUC),metaeffekt:PT-RUC,true
Permission Terms (RUC),scancode:llnl,false
Permission Terms (RUC),Permission,false
Permission Terms (Realmode),metaeffekt:Permission Terms (Realmode),true
Permission Terms (Realmode),PT-Realmode,true
Permission Terms (Realmode),metaeffekt:PT-Realmode,true
Permission Terms (Realmode),Permission,false
Permission Terms (Realmode),scancode:x11-realmode,false
Permission Terms (Realmode),X11-Style (Realmode),false
Permission Terms (SEI),metaeffekt:Permission Terms (SEI),true
Permission Terms (SEI),PT-SEI,true
Permission Terms (SEI),metaeffekt:PT-SEI,true
Permission Terms (SEI),MIT (SEI),false
Permission Terms (SEI),Permission,false
Permission Terms (SEI),scancode:vince,false
Permission Terms (SVG),metaeffekt:Permission Terms (SVG),true
Permission Terms (SVG),PT-SVG,true
Permission Terms (SVG),metaeffekt:PT-SVG,true
Permission Terms (SVG),Permission,false
Permission Terms (Silicon Graphics),metaeffekt:Permission Terms (Silicon Graphics),true
Permission Terms (Silicon Graphics),PT-Silicon-Graphics,true
Permission Terms (Silicon Graphics),metaeffekt:PT-Silicon-Graphics,true
Permission Terms (Silicon Graphics),Permission,false
Permission Terms (Silicon Graphics),scancode:x11-sg,false
Permission Terms (Silicon Graphics),X11-Style (Silicon Graphics),false
Permission Terms (Star And Thank Author),metaeffekt:Permission Terms (Star And Thank Author),true
Permission Terms (Star And Thank Author),PT-Sata,true
Permission Terms (Star And Thank Author),metaeffekt:PT-Sata,true
Permission Terms (Star And Thank Author),Permission,false
Permission Terms (Star And Thank Author),scancode:sata,false
Permission Terms (Sudo),metaeffekt:Permission Terms (Sudo),true
Permission Terms (Sudo),PT-Sudo,true
Permission Terms (Sudo),metaeffekt:PT-Sudo,true
Permission Terms (Sudo),Permission,false
Permission Terms (Sudo),scancode:sudo,false
Permission Terms (Sudo),Sudo License,false
Permission Terms (Sun Source),metaeffekt:Permission Terms (Sun Source),true
Permission Terms (Sun Source),PT-Sun-Source,true
Permission Terms (Sun Source),metaeffekt:PT-Sun-Source,true
Permission Terms (Sun Source),Permission,false
Permission Terms (Sun Source),Permission Terms (SUN),false
Permission Terms (Sun Source),scancode:sun-source,false
Permission Terms (SunSoft),metaeffekt:Permission Terms (SunSoft),true
Permission Terms (SunSoft),PT-SunSoft,true
Permission Terms (SunSoft),metaeffekt:PT-SunSoft,true
Permission Terms (SunSoft),Permission,false
Permission Terms (SunSoft),Sunsoft License,false
Permission Terms (TA),metaeffekt:Permission Terms (TA),true
Permission Terms (TA),PT-TA,true
Permission Terms (TA),metaeffekt:PT-TA,true
Permission Terms (TA),Permission,false
Permission Terms (TA),TA License,false
Permission Terms (TA),scancode:takao-abe,false
Permission Terms (TD),metaeffekt:Permission Terms (TD),true
Permission Terms (TD),PT-TD,true
Permission Terms (TD),metaeffekt:PT-TD,true
Permission Terms (TD),Permission,false
Permission Terms (TJ),metaeffekt:Permission Terms (TJ),true
Permission Terms (TJ),PT-TJ,true
Permission Terms (TJ),metaeffekt:PT-TJ,true
Permission Terms (TJ),scancode:historical-ntp,false
Permission Terms (TJ),Permission,false
Permission Terms (TJ),TJ License,false
Permission Terms (TP),metaeffekt:Permission Terms (TP),true
Permission Terms (TP),PT-TP,true
Permission Terms (TP),metaeffekt:PT-TP,true
Permission Terms (TP),Permission,false
Permission Terms (Tektronix),metaeffekt:Permission Terms (Tektronix),true
Permission Terms (Tektronix),PT-Tektronix,true
Permission Terms (Tektronix),metaeffekt:PT-Tektronix,true
Permission Terms (Tektronix),Permission Terms,false
Permission Terms (Tektronix),X11-Style (Tektronix),false
Permission Terms (Tektronix),scancode:x11-tektronix,false
//www.softcomplex.com/products/tigra_calendar/,http://www.softcomplex.com/products/tigra_calendar/,true
Permission Terms (Tigra Calendar 3.2),metaeffekt:Permission Terms (Tigra Calendar 3.2),true
Permission Terms (Tigra Calendar 3.2),PT-Tigra-Calendar-3.2,true
Permission Terms (Tigra Calendar 3.2),metaeffekt:PT-Tigra-Calendar-3.2,true
Permission Terms (Tigra Calendar 3.2),http://www.softcomplex.com/products/tigra_calendar/,false
Permission Terms (Tigra Calendar 3.2),Permission,false
Permission Terms (Tigra Calendar 3.2),Tigra Calendar v3.2 License,false
Permission Terms (Tigra Calendar 3.2),scancode:tigra-calendar-3.2,false
Permission Terms (Tigra Calendar 4.0),metaeffekt:Permission Terms (Tigra Calendar 4.0),true
Permission Terms (Tigra Calendar 4.0),PT-Tigra-Calendar-4.0,true
Permission Terms (Tigra Calendar 4.0),metaeffekt:PT-Tigra-Calendar-4.0,true
Permission Terms (Tigra Calendar 4.0),Permission,false
Permission Terms (Tigra Calendar 4.0),Tigra Calendar v4.0 License,false
Permission Terms (Tigra Calendar 4.0),scancode:tigra-calendar-4.0,false
Permission Terms (UC),metaeffekt:Permission Terms (UC),true
Permission Terms (UC),PT-UC,true
Permission Terms (UC),metaeffekt:PT-UC,true
Permission Terms (UC),Permission,false
Permission Terms (UC LLNL),metaeffekt:Permission Terms (UC LLNL),true
Permission Terms (UC LLNL),PT-UC-LLNL,true
Permission Terms (UC LLNL),metaeffekt:PT-UC-LLNL,true
Permission Terms (UC LLNL),Permission,false
Permission Terms (UC LLNL; HNF5),metaeffekt:Permission Terms (UC LLNL; HNF5),true
Permission Terms (UC LLNL; HNF5),PT-UC-LLNL-HNF5,true
Permission Terms (UC LLNL; HNF5),metaeffekt:PT-UC-LLNL-HNF5,true
Permission Terms (UC LLNL; HNF5),Permission,false
//spdx.org/licenses/Verbatim-man-pages,{{Verbatim-man-pages}} https://spdx.org/licenses/Verbatim-man-pages,true
//spdx.org/licenses/Linux-man-pages-copyleft,{{Linux-man-pages-copyleft}} https://spdx.org/licenses/Linux-man-pages-copyleft,true
Permission Terms (Verbatim Copies Permission),metaeffekt:Permission Terms (Verbatim Copies Permission),true
Permission Terms (Verbatim Copies Permission),PT-Verbatim-Copies,true
Permission Terms (Verbatim Copies Permission),metaeffekt:PT-Verbatim-Copies,true
Permission Terms (Verbatim Copies Permission),{{Linux-man-pages-copyleft}} https://spdx.org/licenses/Linux-man-pages-copyleft,false
Permission Terms (Verbatim Copies Permission),{{Verbatim-man-pages}} https://spdx.org/licenses/Verbatim-man-pages,false
Permission Terms (Verbatim Copies Permission),licenses.nuget.org/Linux-man-pages-copyleft,false
Permission Terms (Verbatim Copies Permission),Permission,false
Permission Terms (Verbatim Copies Permission),scancode:verbatim-manual,false
Permission Terms (Waterfall Feed Parser),metaeffekt:Permission Terms (Waterfall Feed Parser),true
Permission Terms (Waterfall Feed Parser),PT-Waterfall-Feed-Parser,true
Permission Terms (Waterfall Feed Parser),metaeffekt:PT-Waterfall-Feed-Parser,true
Permission Terms (Waterfall Feed Parser),Permission,false
Permission Terms (Waterfall Feed Parser),Waterfall Feed Parser License,false
Permission Terms (Waterfall Feed Parser),scancode:waterfall-feed-parser,false
Permission Terms (acknowledgement),metaeffekt:Permission Terms (acknowledgement),true
Permission Terms (acknowledgement),PT-Acknowledgement,true
Permission Terms (acknowledgement),metaeffekt:PT-Acknowledgement,true
Permission Terms (acknowledgement),OpenCoDE:PT-Acknowledgement,true
Permission Terms (acknowledgement),Permission,false
Permission Terms (freeware),metaeffekt:Permission Terms (freeware),true
Permission Terms (freeware),PT-Var086,true
Permission Terms (freeware),metaeffekt:PT-Var086,true
Permission Terms (freeware),scancode:fpl,false
Permission Terms (freeware),Permission,false
Permission Terms (hdparm),metaeffekt:Permission Terms (hdparm),true
Permission Terms (hdparm),PT-hdparm,true
Permission Terms (hdparm),metaeffekt:PT-hdparm,true
Permission Terms (hdparm),scancode:hdparm,false
Permission Terms (hdparm),Permission,false
Permission Terms (ntp lucent),metaeffekt:Permission Terms (ntp lucent),true
Permission Terms (ntp lucent),PT-ntp-lucent,true
Permission Terms (ntp lucent),metaeffekt:PT-ntp-lucent,true
Permission Terms (ntp lucent),Permission,false
Permission Terms (ntp lucent),scancode:x11-lucent-variant,false
Permission Terms (ntp wsu),metaeffekt:Permission Terms (ntp wsu),true
Permission Terms (ntp wsu),PT-ntp-wsu,true
Permission Terms (ntp wsu),metaeffekt:PT-ntp-wsu,true
Permission Terms (ntp wsu),scancode:ghostpdl-permissive,false
Permission Terms (ntp wsu),Permission,false
Permission Terms (pybench),metaeffekt:Permission Terms (pybench),true
Permission Terms (pybench),PT-pybench,true
Permission Terms (pybench),metaeffekt:PT-pybench,true
Permission Terms (pybench),Permission,false
Permission Terms (pybench),scancode:pybench,false
Permission Terms (pybench),pybench License,false
Permission Terms (sRGB),metaeffekt:Permission Terms (sRGB),true
Permission Terms (sRGB),PT-no-advertising-no-warranty-no-representation,true
Permission Terms (sRGB),metaeffekt:PT-no-advertising-no-warranty-no-representation,true
Permission Terms (sRGB),Permission,false
Permission Terms (sRGB),scancode:srgb,false
Permission Terms (unlimited),metaeffekt:Permission Terms (unlimited),true
Permission Terms (unlimited),PT-unlimited,true
Permission Terms (unlimited),metaeffekt:PT-unlimited,true
Permission Terms (unlimited),Permission,false
Permission Terms CWI,metaeffekt:Permission Terms CWI,true
Permission Terms CWI,PT-CWI,true
Permission Terms CWI,metaeffekt:PT-CWI,true
Permission Terms CWI,scancode:cmu-uc,false
Permission Terms CWI,Historical Permission Notice and Disclaimer,false
Permission Terms CWI,HPND License,false
Permission Terms CWI,Permission,false
Permission Terms Var033,metaeffekt:Permission Terms Var033,true
Permission Terms Var033,PT-Var033,true
Permission Terms Var033,metaeffekt:PT-Var033,true
Permission Terms Var033,Permission,false
Permission Terms,metaeffekt:Permission Terms,true
Permission Terms,PT,true
Permission Terms,metaeffekt:PT,true
Permission Terms,OpenCoDE:PT,true
Permission Terms,Permission,false
PHP License (undefined),metaeffekt:PHP License (undefined),true
PHP License (undefined),PHP-?,true
PHP License (undefined),metaeffekt:PHP-?,true
PHP License (undefined),PHP license,false
"PHP License, Version 3.0","hitachi:PHP License, version 3.0",true
PhotoPrism Plus License Agreement,metaeffekt:PhotoPrism Plus License Agreement,true
PhotoPrism Plus License Agreement,PhotoPrism-Plus,true
PhotoPrism Plus License Agreement,metaeffekt:PhotoPrism-Plus,true
PhotoPrism Plus License Agreement,PhotoPrism Plus,false
PhotoPrism Plus License Agreement,PhotoPrism® Plus License Agreement,false
PhotoPrism Pro License Agreement,metaeffekt:PhotoPrism Pro License Agreement,true
PhotoPrism Pro License Agreement,PhotoPrism-Pro,true
PhotoPrism Pro License Agreement,metaeffekt:PhotoPrism-Pro,true
PhotoPrism Pro License Agreement,PhotoPrism Pro,false
PhotoPrism Pro License Agreement,PhotoPrism® Pro License Agreement,false
//www.photoprism.app/trademark>,<https://www.photoprism.app/trademark>,true
PhotoPrism Exception (AGPL-3.0+),metaeffekt:PhotoPrism Exception (AGPL-3.0+),true
PhotoPrism Exception (AGPL-3.0+),PhotoPrism-Exception-AGPL-3.0+,true
PhotoPrism Exception (AGPL-3.0+),metaeffekt:PhotoPrism-Exception-AGPL-3.0+,true
PhotoPrism Exception (AGPL-3.0+),<https://www.photoprism.app/trademark>,false
PhotoPrism Exception (AGPL-3.0+),PhotoPrism Exception AGPL,false
PhotoPrism Exception (AGPL-3.0+),PhotoPrism Exception to AGPL 3.0,false
PhotoPrism Exception (AGPL-3.0+),PhotoPrism Exception to AGPL-3.0,false
PhotoPrism Exception (AGPL-3.0+),photoprism-exception-3.0,false
PhotoPrism Exception (AGPL-3.0+),scancode:photoprism-exception-3.0,false
