Full Name,Short Name,FSF Free?,GPLv2 Compat?,GPLv3 Compat?,Upstream URL
SNIA Public License 1.1,SNIA,Yes,NO,NO,https://fedoraproject.org/wiki/Licensing/SNIA_Public_License
Standard ML of New Jersey License,MIT,Yes,Yes,Yes,https://fedoraproject.org/wiki/Licensing/MIT
Sun Industry Standards Source License,SISSL,Yes,NO,,http://www.openoffice.org/licenses/sissl_license.html
Sun Public License,SPL,Yes,NO,,https://fedoraproject.org/wiki/Licensing/Sun_Public_License
TCL/TK License,TCL,Yes,Yes,Yes,https://fedoraproject.org/wiki/Licensing/TCL
Teeworlds License,Teeworlds,Yes,Yes,Yes,https://fedoraproject.org/wiki/Licensing/Teeworlds
Text-Tabs+Wrap License,TTWL,Yes,Yes,Yes,https://fedoraproject.org/wiki/Licensing/TTWL
Thor Public License,TPL,Yes,"Compatible if dual licensed with GPL, otherwise Incompatible",,https://fedoraproject.org/wiki/Licensing/ThorPublicLicense
Threeparttable License,Threeparttable,Yes,NO,NO,https://fedoraproject.org/wiki/Licensing/Threeparttable
Time::ParseDate License,TPDL,Yes,Yes,Yes,https://fedoraproject.org/wiki/Licensing/TPDL
TMate Open Source License,TMate,Yes,NO,NO,http://svnkit.com/license.html
Tolua License,Tolua,Yes,Yes,Yes,https://fedoraproject.org/wiki/Licensing/Tolua
TORQUE v2.5+ Software License v1.1,TORQUEv1.1,Yes,NO,NO,https://fedoraproject.org/wiki/Licensing/TORQUEv1.1
Transitive Grace Period Public Licence,TGPPL,Sortof,NO,NO,https://fedoraproject.org/wiki/Licensing/TGPPL
Trusted Computing Group License,TCGL,Sortof,Sortof,Sortof,https://fedoraproject.org/wiki/Licensing/TCGL
Trusster Open Source License,TOSL,Yes,NO,NO,https://fedoraproject.org/wiki/Licensing/TOSL
Tumbolia Public License,Tumbolia,Yes,Yes,Yes,https://fedoraproject.org/wiki/Licensing/Tumbolia
UCAR License,UCAR,Yes,Yes,Yes,https://fedoraproject.org/wiki/Licensing/UCAR
Unicode Character Database Terms Of Use,UCD,Yes,Yes,Yes,https://fedoraproject.org/wiki/Licensing/UCD
Unicode License,Unicode,Yes,Yes,Yes,https://fedoraproject.org/wiki/Licensing/Unicode
Unlicense,Unlicense,Yes,Yes,Yes,https://fedoraproject.org/wiki/Licensing/Unlicense
Universal Permissive License,UPL,Yes,Yes,Yes,https://fedoraproject.org/wiki/Licensing/UPL
Vim License,Vim,Yes,Yes,Yes,http://vimdoc.sourceforge.net/htmldoc/uganda.html
Vita Nuova Liberal Source License,VNLSL,Yes,NO,,https://fedoraproject.org/wiki/Licensing/Vita_Nuova_Liberal_Source_License
VOSTROM Public License for Open Source,VOSTROM,Yes,NO,NO,https://fedoraproject.org/wiki/Licensing/VOSTROM
Vovida Software License v. 1.0,VSL,Yes,NO,,http://opensource.org/licenses/vovidapl.php
W3C Software Notice and License,W3C,Yes,Yes,Yes,http://www.w3.org/Consortium/Legal/2002/copyright-software-20021231
Webmin License,Webmin,Yes,NO,NO,https://fedoraproject.org/wiki/Licensing/Webmin
Wsuipa License,Wsuipa,Yes,NO,NO,https://fedoraproject.org/wiki/Licensing/Wsuipa
wxWidgets Library License,wxWidgets,Yes,Yes,Yes,http://www.wxwidgets.org/manuals/stable/wx_wxlicense.html
wxWindows Library License v 3.1,wxWindows,Yes,Yes,Yes,https://fedoraproject.org/wiki/Licensing/wxWindows.html
xinetd License,xinetd,Yes,NO,,https://fedoraproject.org/wiki/Licensing/Xinetd_License
Xerox License,Xerox,Yes,NO,NO,https://fedoraproject.org/wiki/Licensing/Xerox
XPP License,xpp,Yes,NO,NO,https://fedoraproject.org/wiki/Licensing/xpp
XSkat License,XSkat,Yes,NO,NO,https://fedoraproject.org/wiki/Licensing/XSkat_License
Yahoo Public License v 1.1,YPLv1.1,Yes,NO,NO,http://www.zimbra.com/license/yahoo_public_license_1.1.html
Zed License,Zed,Yes,Yes,Yes,https://fedoraproject.org/wiki/Licensing/Zed
Zend License v2.0,Zend,Yes,NO,,http://www.zend.com/license/2_00.txt
Zope Public License v 1.0,ZPLv1.0,Yes,NO,NO,http://old.zope.org/Resources/License/ZPL-1.1
Zope Public License v 2.0,ZPLv2.0,Yes,Yes,Yes,http://old.zope.org/Resources/License/ZPL-2.0
Zope Public License v 2.1,ZPLv2.1,Yes,Yes,Yes,http://old.zope.org/Resources/License/ZPL-2.1
zlib/libpng License,zlib,Yes,Yes,Yes,http://www.gzip.org/zlib/zlib_license.html
zlib/libpng License with Acknowledgement,zlib with acknowledgement,Yes,NO,NO,https://fedoraproject.org/wiki/Licensing/ZlibWithAcknowledgement
