lfc,names,ambiguousNames
Fedora Project Wiki,"[""DO WHATEVER PUBLIC LICENSE""]","[""DWPL""]"
Fedora Project Wiki,"[""Docbook MIT License""]","[""DMIT""]"
Fedora Project Wiki,"[""Eclipse Distribution License 1.0""]","[""BSD""]"
Fedora Project Wiki,"[""eCos License v2.0""]","[""eCos""]"
Fedora Project Wiki,"[""Fedora Directory Server License""]","[""GPLv2 with exceptions""]"
Fedora Project Wiki,"[""FLTK License""]","[""LGPLv2 with exceptions""]"
Fedora Project Wiki,"[""Fraunhofer FDK AAC License""]","[""FDK-AAC""]"
Fedora Project Wiki,"[""FreeImage Public License""]","[""MPLv1.0""]"
Fedora Project Wiki,"[""Freetype License""]","[""FTL""]"
Fedora Project Wiki,"[""GNU General Public License (no version)""]","[""GPL+""]"
Fedora Project Wiki,"[""GNU General Public License (no version), with Classpath exception""]","[""GPL+ with exceptions""]"
Fedora Project Wiki,"[""GNU General Public License (no version), with font embedding exception""]","[""GPL+ with exceptions""]"
Fedora Project Wiki,"[""GNU General Public License v2.0 only, with Classpath exception""]","[""GPLv2 with exceptions""]"
Fedora Project Wiki,"[""GNU General Public License v2.0 only, with font embedding exception""]","[""GPLv2 with exceptions""]"
Fedora Project Wiki,"[""GNU General Public License v2.0 or later, with Classpath exception""]","[""GPLv2+ with exceptions""]"
Fedora Project Wiki,"[""GNU General Public License v2.0 or later, with font embedding exception""]","[""GPLv2+ with exceptions""]"
Fedora Project Wiki,"[""GNU General Public License v3.0 only, with Classpath exception""]","[""GPLv3 with exceptions""]"
Fedora Project Wiki,"[""GNU General Public License v3.0 only, with font embedding exception""]","[""GPLv3 with exceptions""]"
Fedora Project Wiki,"[""GNU General Public License v3.0 or later, with Classpath exception""]","[""GPLv3+ with exceptions""]"
Fedora Project Wiki,"[""GNU General Public License v3.0 or later, with font embedding exception""]","[""GPLv3+ with exceptions""]"
Fedora Project Wiki,"[""GNU Lesser General Public License (no version)""]","[""LGPLv2+""]"
Fedora Project Wiki,"[""GNU Lesser General Public License v2 (or 2.1) only""]","[""LGPLv2""]"
Fedora Project Wiki,"[""GNU Lesser General Public License v2 (or 2.1), with exceptions""]","[""LGPLv2 with exceptions""]"
Fedora Project Wiki,"[""GNU Lesser General Public License v2 (or 2.1) or later""]","[""LGPLv2+""]"
Fedora Project Wiki,"[""GNU Lesser General Public License v2 (or 2.1) or later, with exceptions""]","[""LGPLv2+ with exceptions""]"
Fedora Project Wiki,"[""GNU Lesser General Public License v3.0 only, with exceptions""]","[""LGPLv3 with exceptions""]"
Fedora Project Wiki,"[""GNU Lesser General Public License v3.0 or later, with exceptions""]","[""LGPLv3+ with exceptions""]"
Fedora Project Wiki,"[""Henry Spencer Reg-Ex Library License""]","[""HSRL""]"
Fedora Project Wiki,"[""IBM Public License""]","[""IBM""]"
Fedora Project Wiki,"[""Inner Net License""]","[""Inner-Net""]"
Fedora Project Wiki,"[""Interbase Public License""]","[""Interbase""]"
Fedora Project Wiki,"[""ISC License (Bind, DHCP Server)""]","[""ISC""]"
Fedora Project Wiki,"[""Jabber Open Source License""]","[""Jabber""]"
Fedora Project Wiki,"[""JPython License (old)""]","[""JPython""]"
Fedora Project Wiki,"[""Julius License""]","[""Julius""]"
Fedora Project Wiki,"[""Knuth License""]","[""Knuth""]"
Fedora Project Wiki,"[""LaTeX Project Public License""]","[""LPPL""]"
Fedora Project Wiki,"[""LEGO Open Source License Agreement""]","[""LOSLA""]"
Fedora Project Wiki,"[""Lhcyr License""]","[""Lhcyr""]"
Fedora Project Wiki,"[""Lisp Library General Public License""]","[""LLGPL""]"
Fedora Project Wiki,"[""Logica Open Source License""]","[""Logica""]"
Fedora Project Wiki,"[""Lucent Public License (Plan9)""]","[""LPL""]"
Fedora Project Wiki,"[""mecab-ipadic license""]","[""mecab-ipadic""]"
Fedora Project Wiki,"[""Metasploit Framework License (post 2006)""]","[""BSD""]"
Fedora Project Wiki,"[""midnight License""]","[""midnight""]"
Fedora Project Wiki,"[""mod_macro License""]","[""mod_macro""]"
Fedora Project Wiki,"[""Mozilla Public License v1.0""]","[""MPLv1.0""]"
Fedora Project Wiki,"[""Mozilla Public License v1.1""]","[""MPLv1.1""]"
Fedora Project Wiki,"[""Mozilla Public License v2.0""]","[""MPLv2.0""]"
Fedora Project Wiki,"[""MX4J License""]","[""ASL 1.1""]"
Fedora Project Wiki,"[""MySQL License""]","[""GPLv2 with exceptions""]"
Fedora Project Wiki,"[""NCSA/University of Illinois Open Source License""]","[""NCSA""]"
Fedora Project Wiki,"[""Neotonic Clearsilver License""]","[""ASL 1.1""]"
Fedora Project Wiki,"[""Netscape Public License""]","[""Netscape""]"
Fedora Project Wiki,"[""Newmat License""]","[""Newmat""]"
Fedora Project Wiki,"[""NIST Software License""]","[""NISTSL""]"
Fedora Project Wiki,"[""Nmap License""]","[""Nmap""]"
Fedora Project Wiki,"[""Nunit License""]","[""MIT with advertising""]"
Fedora Project Wiki,"[""Open Government License""]","[""OGL""]"
Fedora Project Wiki,"[""OpenLDAP License""]","[""OpenLDAP""]"
Fedora Project Wiki,"[""OpenPBS License""]","[""OpenPBS""]"
Fedora Project Wiki,"[""OReilly License""]","[""OReilly""]"
Fedora Project Wiki,"[""Par License""]","[""Par""]"
Fedora Project Wiki,"[""Perl License""]","[""GPL+ or Artistic""]"
Fedora Project Wiki,"[""Perl License (variant)""]","[""GPLv2 or Artistic""]"
Fedora Project Wiki,"[""Perl License (variant)""]","[""GPLv2+ or Artistic""]"
Fedora Project Wiki,"[""Perl License (variant)""]","[""LGPLv2+ or Artistic""]"
Fedora Project Wiki,"[""Phorum License""]","[""Phorum""]"
Fedora Project Wiki,"[""PlainTeX License""]","[""PlainTeX""]"
Fedora Project Wiki,"[""Public Domain""]","[""Public Domain""]"
Fedora Project Wiki,"[""Python License""]","[""Python""]"
Fedora Project Wiki,"[""Qwt License 1.0""]","[""LGPLv2+ with exceptions""]"
Fedora Project Wiki,"[""QuickFix License""]","[""ASL 1.1""]"
Fedora Project Wiki,"[""radvd License""]","[""radvd""]"
Fedora Project Wiki,"[""REX License""]","[""REX""]"
Fedora Project Wiki,"[""Rice BSD""]","[""RiceBSD""]"
Fedora Project Wiki,"[""Romio License""]","[""Romio""]"
Fedora Project Wiki,"[""RSA License""]","[""RSA""]"
Fedora Project Wiki,"[""Rsfs License""]","[""Rsfs""]"
Fedora Project Wiki,"[""Sequence Library License""]","[""Sequence""]"
Fedora Project Wiki,"[""SciTech MGL Public License""]","[""STMPL""]"
Fedora Project Wiki,"[""SCRIP License""]","[""SCRIP""]"
Fedora Project Wiki,"[""SLIB License""]","[""SLIB""]"
Fedora Project Wiki,"[""softSurfer License""]","[""softSurfer""]"
Fedora Project Wiki,"[""Sun Public License""]","[""SPL""]"
Fedora Project Wiki,"[""Teeworlds License""]","[""Teeworlds""]"
Fedora Project Wiki,"[""Text-Tabs+Wrap License""]","[""TTWL""]"
Fedora Project Wiki,"[""Thor Public License""]","[""TPL""]"
Fedora Project Wiki,"[""Threeparttable License""]","[""Threeparttable""]"
Fedora Project Wiki,"[""Time::ParseDate License""]","[""TPDL""]"
Fedora Project Wiki,"[""Tolua License""]","[""Tolua""]"
Fedora Project Wiki,"[""Transitive Grace Period Public Licence""]","[""TGPPL""]"
Fedora Project Wiki,"[""Trusted Computing Group License""]","[""TCGL""]"
Fedora Project Wiki,"[""Tumbolia Public License""]","[""Tumbolia""]"
Fedora Project Wiki,"[""UCAR License""]","[""UCAR""]"
Fedora Project Wiki,"[""Unicode Character Database Terms Of Use""]","[""UCD""]"
Fedora Project Wiki,"[""Unicode License""]","[""Unicode""]"
Fedora Project Wiki,"[""Universal Permissive License""]","[""UPL""]"
Fedora Project Wiki,"[""Vita Nuova Liberal Source License""]","[""VNLSL""]"
Fedora Project Wiki,"[""Vovida Software License v. 1.0""]","[""VSL""]"
Fedora Project Wiki,"[""Webmin License""]","[""Webmin""]"
Fedora Project Wiki,"[""wxWidgets Library License""]","[""wxWidgets""]"
Fedora Project Wiki,"[""wxWindows Library License v 3.1""]","[""wxWindows""]"
Fedora Project Wiki,"[""Yahoo Public License v 1.1""]","[""YPLv1.1""]"
Fedora Project Wiki,"[""Zope Public License v 1.0""]","[""ZPLv1.0""]"
Fedora Project Wiki,"[""Zope Public License v 2.0""]","[""ZPLv2.0""]"
Fedora Project Wiki,"[""Zope Public License v 2.1""]","[""ZPLv2.1""]"
Fedora Project Wiki,"[""9wm License (Original)""]",[]
Fedora Project Wiki,"[""Adaptive Public License""]",[]
Fedora Project Wiki,"[""Agere LT Modem Driver License""]",[]
Fedora Project Wiki,"[""AMAP License""]",[]
Fedora Project Wiki,"[""Amazon Software License""]",[]
Fedora Project Wiki,"[""Apple iTunes License""]",[]
Fedora Project Wiki,"[""Apple Quicktime License""]",[]
Fedora Project Wiki,"[""Aptana Public License""]",[]
Fedora Project Wiki,"[""AT&T Public License""]",[]
Fedora Project Wiki,"[""C/Migemo License""]",[]
Fedora Project Wiki,"[""CACert Root Distribution License""]",[]
Fedora Project Wiki,"[""CodeProject Open License (CPOL)""]",[]
Fedora Project Wiki,"[""Commons Clause""]",[]
Fedora Project Wiki,"[""eCos Public License, v1.1""]",[]
Fedora Project Wiki,"[""EMC2 License""]",[]
Fedora Project Wiki,"[""European Union Public License v1.0""]",[]
Fedora Project Wiki,"[""Frameworx License""]",[]
Fedora Project Wiki,"[""Frontier Artistic License""]",[]
Fedora Project Wiki,"[""GPL for Computer Programs of the Public Administration""]",[]
Fedora Project Wiki,"[""gSOAP Public License""]",[]
Fedora Project Wiki,"[""Hacktivismo Enhanced-Source Software License Agreement""]",[]
Fedora Project Wiki,"[""Helix DNA Technology Binary Research Use License""]",[]
Fedora Project Wiki,"[""HP Software License Terms""]",[]
Fedora Project Wiki,"[""IBM Sample Code License""]",[]
Fedora Project Wiki,"[""Intel IPW3945 Daemon License""]",[]
Fedora Project Wiki,"[""Jahia Community Source License""]",[]
Fedora Project Wiki,"[""lha license""]",[]
Fedora Project Wiki,"[""License Agreement for Application Response Measurement (ARM) SDK""]",[]
Fedora Project Wiki,"[""Maia Mailguard License""]",[]
Fedora Project Wiki,"[""MAME License""]",[]
Fedora Project Wiki,"[""MeepZor Consulting Public Licence""]",[]
Fedora Project Wiki,"[""Metasploit Framework License (pre 2006)""]",[]
Fedora Project Wiki,"[""Microsoft's Shared Source CLI/C#/Jscript License""]",[]
Fedora Project Wiki,"[""MITRE Collaborative Virtual Workspace License (CVW)""]",[]
Fedora Project Wiki,"[""MSNTP License""]",[]
Fedora Project Wiki,"[""mrouted license (old)""]",[]
Fedora Project Wiki,"[""NASA CDF License""]",[]
Fedora Project Wiki,"[""NASA Open Source Agreement v1.3""]",[]
Fedora Project Wiki,"[""OCLC Public Research License 2.0""]",[]
Fedora Project Wiki,"[""Open Map License""]",[]
Fedora Project Wiki,"[""Open Motif Public End User License""]",[]
Fedora Project Wiki,"[""Open Public License""]",[]
Fedora Project Wiki,"[""OSGi Specification License""]",[]
Fedora Project Wiki,"[""Paul Hsieh Derivative License""]",[]
Fedora Project Wiki,"[""Paul Hsieh Exposition License""]",[]
Fedora Project Wiki,"[""Pine License""]",[]
Fedora Project Wiki,"[""qmail License""]",[]
Fedora Project Wiki,"[""Reciprocal Public License""]",[]
Fedora Project Wiki,"[""Scilab License (OLD)""]",[]
Fedora Project Wiki,"[""Server Side Public License v1 (SSPL)""]",[]
Fedora Project Wiki,"[""SGI Free Software License B 1.1 or older""]",[]
Fedora Project Wiki,"[""SGI GLX Public License 1.0""]",[]
Fedora Project Wiki,"[""Siren14 License Agreement""]",[]
Fedora Project Wiki,"[""Spin Commercial License""]",[]
Fedora Project Wiki,"[""Squeak License""]",[]
Fedora Project Wiki,"[""SystemC Open Source License""]",[]
Fedora Project Wiki,"[""Sun Binary Code License Agreement""]",[]
Fedora Project Wiki,"[""Sun Community Source License""]",[]
Fedora Project Wiki,"[""Sun RPC License""]",[]
Fedora Project Wiki,"[""Sun Solaris Source Code (Foundation Release) License""]",[]
Fedora Project Wiki,"[""Terracotta Public License 1.0""]",[]
Fedora Project Wiki,"[""TrueCrypt License""]",[]
Fedora Project Wiki,"[""TORQUE v2.5+ Software License v1.0""]",[]
Fedora Project Wiki,"[""University of Utah Public License""]",[]
Fedora Project Wiki,"[""University of Washington Free Fork License""]",[]
Fedora Project Wiki,"[""unrar license""]",[]
Fedora Project Wiki,"[""Yahoo Public License 1.0""]",[]
Fedora Project Wiki,"[""Zimbra Public License 1.3""]",[]
Fedora Project Wiki,"[""SIL Open Font License 1.1 http://scripts.sil.org/cms/sites/nrsi/media/OFL_logo_rect_color.png""]","[""OFL""]"
Fedora Project Wiki,"[""Adobe/TUG Utopia license agreement""]","[""Utopia""]"
Fedora Project Wiki,"[""AMS Bluesky Font License""]","[""AMS""]"
Fedora Project Wiki,"[""Arphic Public License""]","[""Arphic""]"
Fedora Project Wiki,"[""Baekmuk License""]","[""Baekmuk""]"
Fedora Project Wiki,"[""Bitstream Vera Font License""]","[""Bitstream Vera""]"
Fedora Project Wiki,"[""Charter License""]","[""Charter""]"
Fedora Project Wiki,"[""Creative Commons Attribution license""]","[""CC-BY""]"
Fedora Project Wiki,"[""DoubleStroke Font License""]","[""DoubleStroke""]"
Fedora Project Wiki,"[""ec Font License""]","[""ec""]"
Fedora Project Wiki,"[""Elvish Font License""]","[""Elvish""]"
Fedora Project Wiki,"[""GUST Font License""]","[""LPPL""]"
Fedora Project Wiki,"[""Hack Open Font License""]","[""HOFL""]"
Fedora Project Wiki,"[""Hershey Font License""]","[""Hershey""]"
Fedora Project Wiki,"[""Liberation Font License""]","[""Liberation""]"
Fedora Project Wiki,"[""LaTeX Project Public License""]","[""LPPL""]"
Fedora Project Wiki,"[""Lucida Legal Notice""]","[""Lucida""]"
Fedora Project Wiki,"[""MgOpen Font License""]","[""MgOpen""]"
Fedora Project Wiki,"[""mplus Font License""]","[""mplus""]"
Fedora Project Wiki,"[""ParaType Font License""]","[""PTFL""]"
Fedora Project Wiki,"[""Punknova Font License""]","[""Punknova""]"
Fedora Project Wiki,"[""STIX Fonts User License""]","[""STIX""]"
Fedora Project Wiki,"[""Wadalab Font License""]","[""Wadalab""]"
Fedora Project Wiki,"[""XANO Mincho Font License""]","[""XANO""]"
Fedora Project Wiki,"[""DIP SIPA Font License""]",[]
Fedora Project Wiki,"[""Larabie Fonts License""]",[]
Fedora Project Wiki,"[""Literat Font License""]",[]
Fedora Project Wiki,"[""Ubuntu Font License""]",[]
Fedora Project Wiki,"[""Creative Commons Attribution license""]","[""CC-BY""]"
Fedora Project Wiki,"[""Creative Commons Attribution-ShareAlike""]","[""CC-BY-SA""]"
Fedora Project Wiki,"[""Creative Commons Attribution-NoDerivs""]","[""CC-BY-ND""]"
Fedora Project Wiki,"[""Creative Commons Zero 1.0 Universal""]","[""CC0""]"
Fedora Project Wiki,"[""Design Science License""]","[""DSL""]"
Fedora Project Wiki,"[""Distributed Management Task Force License""]","[""DMTF""]"
Fedora Project Wiki,"[""EFF Open Audio License v1""]","[""OAL""]"
Fedora Project Wiki,"[""Ethymonics Free Music License""]","[""EFML""]"
Fedora Project Wiki,"[""Free Art License""]","[""Free Art""]"
Fedora Project Wiki,"[""GeoGratis Licence Agreement""]","[""GeoGratis""]"
Fedora Project Wiki,"[""GNU General Public License""]","[""(See Note A)""]"
Fedora Project Wiki,"[""License Ouverte""]","[""Ouverte""]"
Fedora Project Wiki,"[""LinuxTag Green OpenMusic License""]","[""Green OpenMusic""]"
Fedora Project Wiki,"[""Open Data Commons Public Domain Dedication and Licence""]","[""PDDL-1.0""]"
Fedora Project Wiki,"[""Open Data License (GeoLite Country and GeoLite City databases)""]","[""BSD with advertising""]"
Fedora Project Wiki,"[""CAcert Non-Related Persons Disclaimer and License""]",[]
Fedora Project Wiki,"[""Creative Commons Attribution-NonCommercial-NoDerivs""]",[]
Fedora Project Wiki,"[""Creative Commons Attribution-NonCommercial""]",[]
Fedora Project Wiki,"[""Creative Commons Attribution-NonCommercial-ShareAlike""]",[]
Fedora Project Wiki,"[""Creative Commons Sampling Plus 1.0""]",[]
Fedora Project Wiki,"[""LinuxTag Yellow OpenMusic License""]",[]
Fedora Project Wiki,"[""Apple's Common Documentation License, Version 1.0""]","[""CDL""]"
Fedora Project Wiki,"[""Creative Commons Attribution license""]","[""CC-BY""]"
Fedora Project Wiki,"[""Creative Commons Attribution-ShareAlike""]","[""CC-BY-SA""]"
Fedora Project Wiki,"[""GNU Free Documentation License""]","[""GFDL""]"
Fedora Project Wiki,"[""GNU General Public License""]","[""(See Note A)""]"
Fedora Project Wiki,"[""IEEE and Open Group Documentation License""]","[""IEEE""]"
Fedora Project Wiki,"[""Linux Documentation Project License""]","[""LDPL""]"
Fedora Project Wiki,"[""Old FSF Documentation License""]","[""OFSFDL""]"
Fedora Project Wiki,"[""Public Use License, v1.0""]","[""Public Use""]"
Fedora Project Wiki,"[""Verbatim License""]","[""Verbatim""]"
Fedora Project Wiki,"[""Open Content License""]",[]
Fedora Project Wiki,"[""Open Directory License""]",[]
Fedora Project Wiki,"[""W3C Documentation License""]",[]
Google OSS Policy,"[""BCL""]",[]
Google OSS Policy,"[""Commons Clause""]",[]
HansHammel license-compatibility-checker,"[""BSD-2-Clause-FreeBSD""]",[]
HansHammel license-compatibility-checker,"[""BSD-2-Clause-NetBSD""]",[]
HansHammel license-compatibility-checker,"[""LGPL-2.0""]",[]
HansHammel license-compatibility-checker,"[""MS-LRL""]",[]
librariesio license-compatibility,"[""ZPL-1.0""]",[]
librariesio license-compatibility,"[""LGPL-2.0""]",[]
Metaeffekt Universe,"[""389-exception"",""389 Directory Server Exception"",""389-Exception""]","[""389 Directory Server Exception"",""scancode:389-exception""]"
Metaeffekt Universe,"[""3Com-Microcode"",""3Com Microcode License""]","[""3Com Microcode License"",""scancode:3com-microcode""]"
Metaeffekt Universe,"[""3D-Slicer-1.0"",""3D Slicer Contribution and Software License Agreement 1.0""]","[""3D Slicer Contribution and Software License Agreement v1.0"",""3D Slicer Contribution and Software License Agreement (\""Agreement\"") Version 1.0"",""scancode:3dslicer-1.0""]"
Metaeffekt Universe,"[""4Suite-1.1"",""4Suite License 1.1""]","[""4Suite License v1.1"",""scancode:4suite-1.1""]"
Metaeffekt Universe,"[""AFL-?"",""Academic Free License (undefined)""]","[""Academic Free License (undefined)""]"
Metaeffekt Universe,"[""APL-1.1"",""Academic Public License 1.1""]","[""Academic Public License 1.1"",""scancode:apl-1.1""]"
Metaeffekt Universe,"[""Acroname-BDK"",""Acroname Brainstem Development Kit License""]","[""Acroname Brainstem Development Kit License"",""scancode:acroname-bdk""]"
Metaeffekt Universe,"[""ActiveState-2012"",""ActiveState Community License 2012""]","[""ACTIVESTATE COMMUNITY EDITION SOFTWARE LICENSE AGREEMENT Version effective date: August 2, 2012"",""scancode:activestate-community-2012""]"
Metaeffekt Universe,"[""ActiveState-Community"",""ActiveState Community License""]","[""ActiveState Community License"",""scancode:activestate-community""]"
Metaeffekt Universe,"[""ActiveState-Komodo-1.1"",""ActiveState Komodo Edit License 1.1""]","[""ACTIVESTATE\174 KOMODO\174 EDIT LICENSE AGREEMENT"",""ACTIVESTATE KOMODO EDIT LICENSE AGREEMENT"",""scancode:activestate-komodo-edit""]"
Metaeffekt Universe,"[""Actuate-BIRT-iHub-FType-SLA"",""Actuate Corporation BIRT iHub F-Type Software License Agreement""]","[""Actuate Corporation BIRT iHub F-Type Software License Agreement"",""scancode:actuate-birt-ihub-ftype-sla""]"
Metaeffekt Universe,"[""ADI-BSD"",""ADI BSD License""]","[""ADI BSD License"",""scancode:adi-bsd""]"
Metaeffekt Universe,"[""Ada-Linking"",""Ada Linking Exception""]","[""Ada Linking Exception"",""scancode:ada-linking-exception""]"
Metaeffekt Universe,"[""Adaptec-File"",""Adaptec File License""]","[""Adaptec EULA"",""Adaptec by PMC Downloadable Files"",""scancode:adaptec-eula""]"
Metaeffekt Universe,"[""Adaptec-Software"",""Adaptec Software License""]","[""ADAPTEC, INC. DOWNLOADABLE SOFTWARE LICENSE"",""Adaptec Software License"",""scancode:adaptec-downloadable""]"
Metaeffekt Universe,"[""AddThis-Mobile-SDK-1.0"",""AddThis Mobile Application SDK License 1.0""]","[""ADDTHIS MOBILE APPLICATION SDK LICENSE AGREEMENT"",""http://www.addthis.com/tos"",""scancode:addthis-mobile-sdk-1.0""]"
Metaeffekt Universe,"[""Adobe-AIR-SDK-2008"",""Adobe AIR SDK EULA - 2008""]","[""Adobe AIR SDK License"",""scancode:adobe-air-sdk""]"
Metaeffekt Universe,"[""Adobe-AIR-SDK-2014"",""Adobe AIR SDK EULA - 2014""]","[""Adobe AIR SDK - Warranty disclaimer and license agreement"",""scancode:adobe-air-sdk-2014""]"
Metaeffekt Universe,"[""Adobe-Acrobat-Reader-EULA"",""Adobe Acrobat Reader EULA""]","[""Adobe Acrobat Reader EULA ADOBE"",""scancode:adobe-acrobat-reader-eula""]"
Metaeffekt Universe,"[""Adobe-DNG-SDK"",""Adobe DNG SDK License Agreement""]","[""DNG SDK License Agreement"",""scancode:adobe-dng-sdk""]"
Metaeffekt Universe,"[""Adobe-EULA"",""Adobe End User License Agreement""]","[""Adobe End User License Agreement"",""scancode:adobe-eula""]"
Metaeffekt Universe,"[""Adobe-Flash-Player-EULA-21.0"",""Adobe Flash Player EULA 21.0""]","[""ADOBE Personal Computer Software License Agreement"",""scancode:adobe-flash-player-eula-21.0""]"
Metaeffekt Universe,"[""Flex2SDK"",""Adobe Flex 2.0.1 SDK EULA""]","[""http://labs.adobe.com/technologies/eula/flex2sdk.html"",""scancode:flex2sdk""]"
Metaeffekt Universe,"[""Adobe-Flex-4-SDK"",""Adobe Flex 4 SDK Software License Agreement""]","[""ADOBE SYSTEMS INCORPORATED SOFTWARE DEVELOPMENT KIT"",""scancode:adobe-flex-4-sdk""]"
Metaeffekt Universe,"[""Adobe-Flex-SDK"",""Adobe Flex SDK SLA""]","[""ADOBE FLEX SOFTWARE DEVELOPMENT KIT Software License Agreement"",""scancode:adobe-flex-sdk""]"
Metaeffekt Universe,"[""Adobe-General-ToU"",""Adobe General Terms of Use""]","[""Adobe General Terms of Use"",""scancode:adobe-general-tou""]"
Metaeffekt Universe,"[""Adobe-PostScript"",""Adobe PostScript License""]","[""Adobe PostScript License"",""scancode:adobe-postscript""]"
Metaeffekt Universe,"[""Adobe-Indesign-SDK"",""Adobe SDK License (indesign)""]","[""Adobe SDK License for INDESIGN, INDESIGN SERVER and INCOPY Software"",""scancode:adobe-indesign-sdk""]"
Metaeffekt Universe,"[""Adrian-DFS"",""Adrian DFS License""]","[""Adrian DFS License"",""scancode:adrian""]"
Metaeffekt Universe,"[""AES-128-3.0"",""AES-128 License 3.0""]","[""scancode:aes-128-3.0""]"
Metaeffekt Universe,"[""Aelfred2"",""Aelfred2 License""]","[""Aelfred2 License""]"
Metaeffekt Universe,"[""AGPL-3.0-Linking-Exception"",""AGPL 3.0 Linking Exception""]","[""scancode:agpl-3.0-linking-exception"",""scancode:linking-exception-agpl-3.0""]"
Metaeffekt Universe,"[""AgentXpp"",""AgentX++ License Agreement""]","[""AGENTX++ LICENSE AGREEMENT"",""scancode:agentxpp""]"
Metaeffekt Universe,"[""Agere-BSD"",""Agere Systems BSD Software License""]","[""agere-bsd"",""scancode:agere-bsd""]"
Metaeffekt Universe,"[""Agere-SLA"",""Agere Systems WinModem EULA""]","[""http://fedoraproject.org/wiki/Licensing/Agere_LT_Modem_Driver_License"",""agere-sla"",""scancode:agere-sla""]"
Metaeffekt Universe,"[""Agilio"",""Agilio Firmware License Agreement""]","[""Agilio(r) Firmware License Agreement""]"
Metaeffekt Universe,"[""AFPL-9.0"",""Aladdin Free Public License 9.0""]","[""http://www.artifex.com/downloads/doc/Public.htm"",""Aladdin Free Public License"",""AFPL Ghostscript"",""Thanks to L. Peter Deutsch <ghost@aladdin.com> for making gdevdjet.c and gdevdljm.[ch] available under a dual AFPL/GPL license.txt."",""scancode:afpl-9.0""]"
Metaeffekt Universe,"[""Alasir"",""Alasir Licence""]","[""The Alasir Licence"",""scancode:alasir""]"
Metaeffekt Universe,"[""Alexisisaac-Freeware"",""Alexisisaac Freeware License""]","[""alexisisaac-freeware"",""Alexisisaac.net"",""http://www.alexisisaac.net/products"",""scancode:alexisisaac-freeware""]"
Metaeffekt Universe,"[""Alfresco-Exception-0.5"",""Alfresco FLOSS Exception 0.5""]","[""Alfresco FLOSS Exception v0.5"",""scancode:alfresco-exception-0.5""]"
Metaeffekt Universe,"[""AlterMIME"",""AlterMIME License""]",[]
Metaeffekt Universe,"[""Altova-EULA"",""Altova EULA""]","[""ALTOVA\174 END-USER LICENSE AGREEMENT"",""scancode:altova-eula""]"
